Target: DefaultSC

Observer: Delft
There are no contact events in the time interval 13 Feb 2026 00:00:00.000 to 20 Feb 2026 00:00:00.000


Number of events : 0


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 17:43:18.473    13 Feb 2026 17:46:48.177      209.70425948    
13 Feb 2026 19:23:43.183    13 Feb 2026 19:27:30.646      227.46336496    
13 Feb 2026 21:04:34.491    13 Feb 2026 21:08:19.308      224.81635879    
13 Feb 2026 22:45:14.764    13 Feb 2026 22:48:48.562      213.79774148    
14 Feb 2026 17:34:51.280    14 Feb 2026 17:38:41.281      230.00038852    
14 Feb 2026 19:15:33.981    14 Feb 2026 19:19:15.814      221.83283670    
14 Feb 2026 20:56:18.905    14 Feb 2026 21:00:10.125      231.21959679    
14 Feb 2026 22:37:13.577    14 Feb 2026 22:40:14.164      180.58687033    
15 Feb 2026 17:26:30.959    15 Feb 2026 17:30:29.817      238.85791660    
15 Feb 2026 19:07:24.276    15 Feb 2026 19:11:02.267      217.99036640    
15 Feb 2026 20:48:03.059    15 Feb 2026 20:51:59.771      236.71233474    
15 Feb 2026 22:29:29.404    15 Feb 2026 22:31:20.300      110.89557036    
16 Feb 2026 17:18:15.401    16 Feb 2026 17:22:15.739      240.33765831    
16 Feb 2026 18:59:13.393    16 Feb 2026 19:02:50.272      216.87991521    
16 Feb 2026 20:39:47.772    16 Feb 2026 20:43:47.121      239.34888407    
17 Feb 2026 15:30:30.017    17 Feb 2026 15:32:43.736      133.71882937    
17 Feb 2026 17:10:03.131    17 Feb 2026 17:14:00.313      237.18247652    
17 Feb 2026 18:51:00.977    17 Feb 2026 18:54:39.765      218.78805683    
17 Feb 2026 20:31:34.052    17 Feb 2026 20:35:30.912      236.86078589    
18 Feb 2026 15:21:42.066    18 Feb 2026 15:24:53.893      191.82668345    
18 Feb 2026 17:01:52.920    18 Feb 2026 17:05:44.502      231.58181130    
18 Feb 2026 18:42:47.036    18 Feb 2026 18:46:30.319      223.28329466    
18 Feb 2026 20:23:23.253    18 Feb 2026 20:27:09.588      226.33498268    
19 Feb 2026 15:13:09.892    19 Feb 2026 15:16:50.716      220.82416371    
19 Feb 2026 16:53:43.667    19 Feb 2026 16:57:29.094      225.42654206    
19 Feb 2026 18:34:31.897    19 Feb 2026 18:38:21.205      229.30790680    
19 Feb 2026 20:15:17.561    19 Feb 2026 20:18:40.823      203.26178411    


Number of events : 27


Observer: Nemea
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 16:08:22.118    13 Feb 2026 16:11:46.929      204.81132623    
13 Feb 2026 17:48:39.090    13 Feb 2026 17:52:32.932      233.84151729    
13 Feb 2026 19:29:24.343    13 Feb 2026 19:33:18.837      234.49410754    
13 Feb 2026 21:10:17.029    13 Feb 2026 21:13:24.410      187.38042098    
14 Feb 2026 15:59:53.973    14 Feb 2026 16:03:40.530      226.55695706    
14 Feb 2026 17:40:28.075    14 Feb 2026 17:44:18.663      230.58852812    
14 Feb 2026 19:21:09.246    14 Feb 2026 19:25:07.211      237.96523763    
14 Feb 2026 21:02:26.333    14 Feb 2026 21:04:37.519      131.18557138    
15 Feb 2026 15:51:32.515    15 Feb 2026 15:55:29.635      237.12083967    
15 Feb 2026 17:32:16.707    15 Feb 2026 17:36:05.367      228.66014106    
