Target: DefaultSC

Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 17:47:35.374    13 Feb 2026 17:49:56.559      141.18533075    
13 Feb 2026 19:26:16.516    13 Feb 2026 19:30:06.212      229.69562063    
13 Feb 2026 21:05:58.978    13 Feb 2026 21:09:29.210      210.23181615    
14 Feb 2026 17:39:34.116    14 Feb 2026 17:42:28.875      174.75885175    
14 Feb 2026 19:18:34.464    14 Feb 2026 19:22:25.465      231.00088884    
14 Feb 2026 20:58:22.592    14 Feb 2026 21:01:39.621      197.02844687    
15 Feb 2026 17:31:39.733    15 Feb 2026 17:34:55.760      196.02701396    
15 Feb 2026 19:10:53.065    15 Feb 2026 19:14:44.197      231.13210481    
15 Feb 2026 20:50:48.998    15 Feb 2026 20:53:45.985      176.98705802    
16 Feb 2026 17:23:49.613    16 Feb 2026 17:27:19.666      210.05377824    
16 Feb 2026 19:03:12.197    16 Feb 2026 19:07:02.302      230.10519709    
16 Feb 2026 20:43:20.389    16 Feb 2026 20:45:45.943      145.55451816    
17 Feb 2026 17:16:02.426    17 Feb 2026 17:19:41.744      219.31860521    
17 Feb 2026 18:55:31.850    17 Feb 2026 18:59:19.561      227.71094899    
17 Feb 2026 20:36:03.817    17 Feb 2026 20:37:32.297      88.480452925    
18 Feb 2026 17:08:17.332    18 Feb 2026 17:12:02.642      225.31018469    
18 Feb 2026 18:47:52.137    18 Feb 2026 18:51:35.639      223.50187217    
19 Feb 2026 15:22:08.984    19 Feb 2026 15:24:00.664      111.68022085    
19 Feb 2026 17:00:33.742    19 Feb 2026 17:04:22.745      229.00269729    
19 Feb 2026 18:40:13.312    19 Feb 2026 18:43:50.066      216.75393144    


Number of events : 20


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:35.460    13 Feb 2026 00:36:53.540      198.08057385    
13 Feb 2026 17:44:03.024    13 Feb 2026 17:46:57.805      174.78169411    
13 Feb 2026 22:46:41.964    13 Feb 2026 22:48:54.560      132.59566231    
14 Feb 2026 00:26:24.473    14 Feb 2026 00:28:36.608      132.13485964    
14 Feb 2026 15:56:46.780    14 Feb 2026 15:59:31.209      164.42830435    
14 Feb 2026 17:36:59.345    14 Feb 2026 17:38:49.731      110.38560405    
14 Feb 2026 22:38:38.747    14 Feb 2026 22:41:45.191      186.44385645    
15 Feb 2026 15:48:38.467    15 Feb 2026 15:52:12.296      213.82883823    
15 Feb 2026 22:30:45.222    15 Feb 2026 22:34:23.315      218.09314321    
16 Feb 2026 15:40:45.634    16 Feb 2026 15:44:40.573      234.93849164    
16 Feb 2026 22:22:58.098    16 Feb 2026 22:26:52.215      234.11736572    
17 Feb 2026 15:33:03.296    17 Feb 2026 15:37:01.096      237.79994954    
17 Feb 2026 22:15:17.009    17 Feb 2026 22:19:12.281      235.27230030    
18 Feb 2026 15:25:29.889    18 Feb 2026 15:29:15.483      225.59403637    
18 Feb 2026 22:07:43.128    18 Feb 2026 22:11:22.385      219.25745902    
19 Feb 2026 15:18:05.380    19 Feb 2026 15:21:23.795      198.41535031    
19 Feb 2026 20:21:20.866    19 Feb 2026 20:22:42.765      81.898888468    
19 Feb 2026 22:00:20.254    19 Feb 2026 22:03:18.797      178.54312921    


Number of events : 18


Observer: Nemea
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 14:30:23.743    13 Feb 2026 14:31:19.846      56.103059580    
13 Feb 2026 16:09:00.139    13 Feb 2026 16:11:58.199      178.06011691    
13 Feb 2026 21:11:01.197    13 Feb 2026 21:14:04.128      182.93086002    
14 Feb 2026 14:21:40.367    14 Feb 2026 14:24:33.725      173.35797327    
14 Feb 2026 16:01:52.740    14 Feb 2026 16:03:53.879      121.13873453    
14 Feb 2026 21:03:07.766    14 Feb 2026 21:06:42.746      214.98007514    
15 Feb 2026 14:13:34.962    15 Feb 2026 14:17:12.225      217.26346052    
15 Feb 2026 20:55:20.191    15 Feb 2026 20:59:12.754      232.56315468    
16 Feb 2026 14:05:43.492    16 Feb 2026 14:09:39.452      235.96014578    
16 Feb 2026 20:47:38.060    16 Feb 2026 20:51:34.561      236.50102968    
17 Feb 2026 13:58:01.795    17 Feb 2026 14:01:59.619      237.82356482    
17 Feb 2026 20:40:02.262    17 Feb 2026 20:43:47.307      225.04568452    
18 Feb 2026 13:50:28.450    18 Feb 2026 13:54:14.186      225.73536626    
18 Feb 2026 18:53:40.863    18 Feb 2026 18:55:03.494      82.631156675    
18 Feb 2026 20:32:35.566    18 Feb 2026 20:35:48.266      192.69964567    
19 Feb 2026 13:43:03.313    19 Feb 2026 13:46:23.304      199.99136991    
19 Feb 2026 18:45:27.941    19 Feb 2026 18:48:05.829      157.88773054    
19 Feb 2026 20:25:27.911    19 Feb 2026 20:27:27.561      119.64982030    


Number of events : 18


Observer: Nicosia
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 14:30:06.126    13 Feb 2026 14:34:01.942      235.81656724    
13 Feb 2026 21:13:09.123    13 Feb 2026 21:16:54.014      224.89071622    
14 Feb 2026 14:22:36.156    14 Feb 2026 14:26:13.338      217.18216507    
14 Feb 2026 21:05:23.782    14 Feb 2026 21:09:19.606      235.82332798    
