Target: DefaultSC

Observer: Cebreros
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 16:05:09.535    01 Mar 2026 16:11:21.443      371.90806561    
01 Mar 2026 17:44:14.472    01 Mar 2026 17:52:28.787      494.31490770    
01 Mar 2026 19:24:40.222    01 Mar 2026 19:33:02.221      501.99847282    
01 Mar 2026 21:05:15.978    01 Mar 2026 21:13:21.120      485.14151367    
01 Mar 2026 22:46:44.045    01 Mar 2026 22:51:55.140      311.09554593    
02 Mar 2026 15:56:25.182    02 Mar 2026 16:03:20.979      415.79679796    
02 Mar 2026 17:35:55.256    02 Mar 2026 17:44:14.301      499.04564170    
02 Mar 2026 19:16:25.147    02 Mar 2026 19:24:47.182      502.03474833    
02 Mar 2026 20:57:02.906    02 Mar 2026 21:04:57.440      474.53457940    
02 Mar 2026 22:39:10.415    02 Mar 2026 22:42:40.051      209.63661878    
03 Mar 2026 15:47:48.630    03 Mar 2026 15:55:14.965      446.33529688    
03 Mar 2026 17:27:37.747    03 Mar 2026 17:35:59.483      501.73641869    
03 Mar 2026 19:08:10.052    03 Mar 2026 19:16:31.643      501.59033407    
03 Mar 2026 20:48:51.562    03 Mar 2026 20:56:30.028      458.46649051    
04 Mar 2026 14:02:47.781    04 Mar 2026 14:03:53.457      65.676675865    
04 Mar 2026 15:39:17.821    04 Mar 2026 15:47:05.401      467.57964799    
04 Mar 2026 17:19:21.424    04 Mar 2026 17:27:44.558      503.13428692    
04 Mar 2026 18:59:54.969    04 Mar 2026 19:08:15.228      500.25826651    
04 Mar 2026 20:40:42.872    04 Mar 2026 20:47:57.826      434.95373394    
05 Mar 2026 13:52:46.920    05 Mar 2026 13:57:03.806      256.88600228    
05 Mar 2026 15:30:51.436    05 Mar 2026 15:38:53.505      482.06865548    
05 Mar 2026 17:11:05.851    05 Mar 2026 17:19:29.637      503.78568463    
05 Mar 2026 18:51:40.043    05 Mar 2026 18:59:57.473      497.42992425    
05 Mar 2026 20:32:38.243    05 Mar 2026 20:39:19.339      401.09592938    
06 Mar 2026 13:43:41.150    06 Mar 2026 13:49:21.303      340.15310181    
06 Mar 2026 15:22:28.507    06 Mar 2026 15:30:40.103      491.59546931    
06 Mar 2026 17:02:50.682    06 Mar 2026 17:11:14.714      504.03272929    
06 Mar 2026 18:43:25.536    06 Mar 2026 18:51:37.833      492.29657727    
06 Mar 2026 20:24:40.093    06 Mar 2026 20:30:32.105      352.01183916    
07 Mar 2026 13:34:51.385    07 Mar 2026 13:41:25.064      393.67855329    
07 Mar 2026 15:14:08.257    07 Mar 2026 15:22:25.781      497.52455447    
07 Mar 2026 16:54:35.669    07 Mar 2026 17:02:59.676      504.00652086    
07 Mar 2026 18:35:11.839    07 Mar 2026 18:43:15.672      483.83379502    
07 Mar 2026 20:16:53.653    07 Mar 2026 20:21:30.882      277.22920409    


Number of events : 34


Observer: Fucino
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 14:30:26.905    01 Mar 2026 14:33:31.018      184.11313050    
01 Mar 2026 16:07:57.565    01 Mar 2026 16:15:43.445      465.88051154    
01 Mar 2026 17:47:59.754    01 Mar 2026 17:56:17.567      497.81333251    
01 Mar 2026 19:28:29.403    01 Mar 2026 19:36:34.101      484.69840949    
01 Mar 2026 21:09:36.689    01 Mar 2026 21:15:32.448      355.75865455    
02 Mar 2026 14:21:06.315    02 Mar 2026 14:26:01.486      295.17102678    
02 Mar 2026 15:59:31.807    02 Mar 2026 16:07:30.578      478.77094341    
02 Mar 2026 17:39:42.982    02 Mar 2026 17:48:01.506      498.52379687    
02 Mar 2026 19:20:15.092    02 Mar 2026 19:28:11.632      476.54033824    
02 Mar 2026 21:01:45.300    02 Mar 2026 21:06:36.260      290.96026174    
03 Mar 2026 14:12:09.721    03 Mar 2026 14:18:10.164      360.44298622    
03 Mar 2026 15:51:08.933    03 Mar 2026 15:59:16.470      487.53739970    
03 Mar 2026 17:31:26.641    03 Mar 2026 17:39:45.017      498.37567607    
03 Mar 2026 19:12:01.990    03 Mar 2026 19:19:46.307      464.31695226    
03 Mar 2026 20:54:15.888    03 Mar 2026 20:57:15.878      179.99018433    
04 Mar 2026 14:03:24.791    04 Mar 2026 14:10:09.368      404.57697096    
04 Mar 2026 15:42:48.271    04 Mar 2026 15:51:01.566      493.29481542    
04 Mar 2026 17:23:10.610    04 Mar 2026 17:31:27.880      497.26975991    
04 Mar 2026 19:03:50.729    04 Mar 2026 19:11:17.302      446.57295841    
05 Mar 2026 13:54:47.491    05 Mar 2026 14:02:03.084      435.59280115    
05 Mar 2026 15:34:29.263    05 Mar 2026 15:42:46.157      496.89372814    
05 Mar 2026 17:14:54.875    05 Mar 2026 17:23:09.777      494.90213137    
05 Mar 2026 18:55:42.237    05 Mar 2026 19:02:43.536      421.29904255    
06 Mar 2026 12:10:08.833    06 Mar 2026 12:10:23.343      14.509768097    
06 Mar 2026 13:46:15.754    06 Mar 2026 13:53:53.291      457.53750333    
06 Mar 2026 15:26:11.447    06 Mar 2026 15:34:30.409      498.96195803    
06 Mar 2026 17:06:39.532    06 Mar 2026 17:14:50.296      490.76432975    
06 Mar 2026 18:47:37.971    06 Mar 2026 18:54:03.439      385.46814815    
07 Mar 2026 11:59:48.642    07 Mar 2026 12:03:52.276      243.63451009    
07 Mar 2026 13:37:48.267    07 Mar 2026 13:45:41.175      472.90779753    
07 Mar 2026 15:17:54.451    07 Mar 2026 15:26:14.370      499.91965690    
07 Mar 2026 16:58:24.799    07 Mar 2026 17:06:28.936      484.13696898    
07 Mar 2026 18:39:40.536    07 Mar 2026 18:45:14.336      333.79941846    


Number of events : 33


Observer: Maspalomas
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:33:43.694    01 Mar 2026 00:41:24.298      460.60399935    
01 Mar 2026 16:00:09.638    01 Mar 2026 16:08:05.380      475.74226874    
01 Mar 2026 17:40:50.962    01 Mar 2026 17:48:33.730      462.76786592    
01 Mar 2026 19:23:25.222    01 Mar 2026 19:28:39.108      313.88675709    
01 Mar 2026 21:04:49.136    01 Mar 2026 21:10:30.454      341.31847846    
01 Mar 2026 22:44:49.561    01 Mar 2026 22:52:50.623      481.06210510    
02 Mar 2026 00:25:43.760    02 Mar 2026 00:32:45.189      421.42910559    
02 Mar 2026 15:51:41.839    02 Mar 2026 15:59:56.926      495.08685269    
02 Mar 2026 17:32:53.313    02 Mar 2026 17:40:11.944      438.63075615    
02 Mar 2026 19:15:29.858    02 Mar 2026 19:20:27.729      297.87107060    
02 Mar 2026 20:56:29.547    02 Mar 2026 21:02:39.668      370.12093426    
02 Mar 2026 22:36:30.147    02 Mar 2026 22:44:43.660      493.51238867    
03 Mar 2026 00:17:54.844    03 Mar 2026 00:23:52.881      358.03722296    
03 Mar 2026 14:05:38.012    03 Mar 2026 14:09:10.037      212.02503779    
03 Mar 2026 15:43:21.318    03 Mar 2026 15:51:43.950      502.63246971    
03 Mar 2026 17:24:58.811    03 Mar 2026 17:31:50.037      411.22574550    
03 Mar 2026 19:07:30.108    03 Mar 2026 19:12:21.446      291.33767715    
03 Mar 2026 20:48:08.282    03 Mar 2026 20:54:48.161      399.87845019    
03 Mar 2026 22:28:12.984    03 Mar 2026 22:36:31.327      498.34300519    
04 Mar 2026 00:10:27.599    04 Mar 2026 00:14:37.024      249.42496852    
04 Mar 2026 13:56:11.463    04 Mar 2026 14:01:52.735      341.27216195    
04 Mar 2026 15:35:07.073    04 Mar 2026 15:43:27.647      500.57429087    
04 Mar 2026 17:17:06.525    04 Mar 2026 17:23:28.724      382.19811742    
04 Mar 2026 18:59:25.102    04 Mar 2026 19:04:20.504      295.40186471    
04 Mar 2026 20:39:46.227    04 Mar 2026 20:46:54.707      428.48076720    
04 Mar 2026 22:19:58.889    04 Mar 2026 22:28:12.930      494.04119665    
05 Mar 2026 13:47:14.406    05 Mar 2026 13:54:07.728      413.32226023    
05 Mar 2026 15:26:58.366    05 Mar 2026 15:35:08.896      490.52987052    
05 Mar 2026 17:09:15.302    05 Mar 2026 17:15:08.846      353.54394052    
05 Mar 2026 18:51:14.860    05 Mar 2026 18:56:24.254      309.39423249    
05 Mar 2026 20:31:24.121    05 Mar 2026 20:38:58.325      454.20429746    
05 Mar 2026 22:11:48.946    05 Mar 2026 22:19:47.563      478.61748103    
06 Mar 2026 13:38:32.072    06 Mar 2026 13:46:10.098      458.02681715    
06 Mar 2026 15:18:54.565    06 Mar 2026 15:26:48.411      473.84601287    
06 Mar 2026 17:01:23.733    06 Mar 2026 17:06:51.408      327.67576711    
06 Mar 2026 18:43:00.150    06 Mar 2026 18:48:31.326      331.17681619    
06 Mar 2026 20:23:02.616    06 Mar 2026 20:30:58.217      475.60134275    
06 Mar 2026 22:03:44.748    06 Mar 2026 22:11:13.853      449.10496728    
07 Mar 2026 13:29:59.918    07 Mar 2026 13:38:04.676      484.75792625    
07 Mar 2026 15:10:55.040    07 Mar 2026 15:18:26.826      451.78536036    
07 Mar 2026 16:53:30.195    07 Mar 2026 16:58:37.538      307.34361245    
07 Mar 2026 18:34:42.083    07 Mar 2026 18:40:40.057      357.97418329    
07 Mar 2026 20:14:42.329    07 Mar 2026 20:22:53.709      491.37937526    
07 Mar 2026 21:55:48.993    07 Mar 2026 22:02:29.362      400.36947423    


Number of events : 44


Observer: Redu
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 17:47:46.752    01 Mar 2026 17:53:44.224      357.47131405    
01 Mar 2026 19:27:29.528    01 Mar 2026 19:33:30.217      360.68941040    
01 Mar 2026 21:09:36.712    01 Mar 2026 21:10:32.643      55.931665166    
02 Mar 2026 16:01:17.018    02 Mar 2026 16:04:11.892      174.87319463    
02 Mar 2026 17:39:16.508    02 Mar 2026 17:45:26.290      369.78237085    
02 Mar 2026 19:19:13.004    02 Mar 2026 19:24:58.186      345.18192373    
03 Mar 2026 15:52:13.039    03 Mar 2026 15:56:22.577      249.53809907    
03 Mar 2026 17:30:49.159    03 Mar 2026 17:37:05.954      376.79519900    
03 Mar 2026 19:10:59.729    03 Mar 2026 19:16:22.009      322.27914550    
04 Mar 2026 15:43:23.812    04 Mar 2026 15:48:19.972      296.15981391    
04 Mar 2026 17:22:24.301    04 Mar 2026 17:28:43.367      379.06616806    
04 Mar 2026 19:02:50.942    04 Mar 2026 19:07:40.226      289.28400065    
05 Mar 2026 15:34:42.554    05 Mar 2026 15:40:10.681      328.12786906    
05 Mar 2026 17:14:01.722    05 Mar 2026 17:20:18.482      376.76047341    
05 Mar 2026 18:54:49.284    05 Mar 2026 18:58:50.001      240.71740285    
06 Mar 2026 15:26:06.677    06 Mar 2026 15:31:57.095      350.41815124    
06 Mar 2026 17:05:41.391    06 Mar 2026 17:11:51.075      369.68414825    
06 Mar 2026 18:47:02.548    06 Mar 2026 18:49:43.363      160.81531977    
07 Mar 2026 13:40:10.020    07 Mar 2026 13:41:54.590      104.57012532    
07 Mar 2026 15:17:34.820    07 Mar 2026 15:23:40.359      365.53906035    
07 Mar 2026 16:57:23.477    07 Mar 2026 17:03:20.725      357.24810470    


Number of events : 21


