Target: DefaultSC

Observer: Avilla
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:06.307    13 Feb 2026 00:35:36.249      149.94189630    
13 Feb 2026 17:43:44.832    13 Feb 2026 17:47:39.570      234.73768114    
13 Feb 2026 22:45:19.282    13 Feb 2026 22:48:45.903      206.62114309    
14 Feb 2026 17:36:13.240    14 Feb 2026 17:39:53.852      220.61244061    
14 Feb 2026 22:37:31.549    14 Feb 2026 22:41:17.771      226.22258764    
15 Feb 2026 15:49:58.006    15 Feb 2026 15:51:38.794      100.78730662    
15 Feb 2026 17:28:47.738    15 Feb 2026 17:32:04.542      196.80351316    
15 Feb 2026 22:29:47.481    15 Feb 2026 22:33:43.448      235.96696216    
16 Feb 2026 15:41:32.645    16 Feb 2026 15:44:35.050      182.40488941    
16 Feb 2026 17:21:28.765    16 Feb 2026 17:24:11.105      162.33957064    
16 Feb 2026 22:22:07.575    16 Feb 2026 22:26:02.392      234.81654123    
17 Feb 2026 15:33:30.973    17 Feb 2026 15:37:10.179      219.20515375    
17 Feb 2026 17:14:18.764    17 Feb 2026 17:16:10.962      112.19793549    
17 Feb 2026 20:35:36.837    17 Feb 2026 20:37:19.357      102.51912621    
17 Feb 2026 22:14:33.098    17 Feb 2026 22:18:13.314      220.21648684    
18 Feb 2026 15:25:40.766    18 Feb 2026 15:29:36.432      235.66677331    
18 Feb 2026 20:27:35.108    18 Feb 2026 20:30:11.240      156.13117449    
18 Feb 2026 22:07:06.993    18 Feb 2026 22:10:13.278      186.28528824    
19 Feb 2026 15:17:58.774    19 Feb 2026 15:21:57.066      238.29159436    
19 Feb 2026 20:19:40.974    19 Feb 2026 20:22:53.283      192.30924093    
19 Feb 2026 21:59:59.398    19 Feb 2026 22:01:52.167      112.76837282    


Number of events : 21


Observer: Barcelona
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 17:45:13.625    13 Feb 2026 17:48:51.162      217.53708859    
13 Feb 2026 22:46:08.775    13 Feb 2026 22:50:05.734      236.95956012    
14 Feb 2026 15:58:31.370    14 Feb 2026 16:00:57.915      146.54505230    
14 Feb 2026 17:37:48.118    14 Feb 2026 17:41:02.459      194.34100357    
14 Feb 2026 20:59:43.059    14 Feb 2026 21:01:09.260      86.201233871    
14 Feb 2026 22:38:30.086    14 Feb 2026 22:42:22.930      232.84459992    
15 Feb 2026 15:50:20.129    15 Feb 2026 15:53:41.103      200.97364651    
15 Feb 2026 17:30:27.939    15 Feb 2026 17:33:10.653      162.71424297    
15 Feb 2026 20:51:41.884    15 Feb 2026 20:54:01.585      139.70096349    
15 Feb 2026 22:30:56.770    15 Feb 2026 22:34:32.220      215.44987400    
16 Feb 2026 15:42:24.015    16 Feb 2026 15:46:11.705      227.68992152    
16 Feb 2026 17:23:14.285    16 Feb 2026 17:25:14.379      120.09446654    
16 Feb 2026 20:43:47.808    16 Feb 2026 20:46:44.864      177.05545498    
