Target: DefaultSC

Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 16:08:27.627    13 Feb 2026 16:11:20.261      172.63417477    
13 Feb 2026 17:44:55.558    13 Feb 2026 17:52:36.383      460.82513700    
13 Feb 2026 19:24:02.994    13 Feb 2026 19:32:18.867      495.87345826    
13 Feb 2026 21:03:40.296    13 Feb 2026 21:11:46.177      485.88080759    
13 Feb 2026 22:43:43.841    13 Feb 2026 22:50:03.071      379.23004014    
14 Feb 2026 15:59:46.954    14 Feb 2026 16:04:19.629      272.67530604    
14 Feb 2026 17:37:05.235    14 Feb 2026 17:44:57.708      472.47327401    
14 Feb 2026 19:16:21.187    14 Feb 2026 19:24:37.792      496.60488283    
14 Feb 2026 20:56:00.114    14 Feb 2026 21:04:00.320      480.20658614    
14 Feb 2026 22:36:16.359    14 Feb 2026 22:41:53.807      337.44776293    
15 Feb 2026 15:51:26.516    15 Feb 2026 15:57:00.865      334.34937147    
15 Feb 2026 17:29:17.178    15 Feb 2026 17:37:18.203      481.02485582    
15 Feb 2026 19:08:39.747    15 Feb 2026 19:16:56.484      496.73677774    
15 Feb 2026 20:48:20.461    15 Feb 2026 20:56:12.685      472.22390809    
15 Feb 2026 22:28:56.326    15 Feb 2026 22:33:35.065      278.73903232    
16 Feb 2026 15:43:16.118    16 Feb 2026 15:49:34.099      377.98189010    
16 Feb 2026 17:21:30.963    16 Feb 2026 17:29:38.137      487.17429691    
16 Feb 2026 19:00:58.556    16 Feb 2026 19:09:14.833      496.27662854    
16 Feb 2026 20:40:41.592    16 Feb 2026 20:48:22.853      461.26179131    
16 Feb 2026 22:21:52.341    16 Feb 2026 22:24:58.182      185.84122538    
17 Feb 2026 15:35:12.373    17 Feb 2026 15:42:02.642      410.26872966    
17 Feb 2026 17:13:46.220    17 Feb 2026 17:21:57.699      491.47917732    
17 Feb 2026 18:53:17.544    17 Feb 2026 19:01:32.681      495.13710985    
17 Feb 2026 20:33:03.855    17 Feb 2026 20:40:30.329      446.47394498    
18 Feb 2026 15:27:13.568    18 Feb 2026 15:34:28.122      434.55435470    
18 Feb 2026 17:06:02.632    18 Feb 2026 17:14:17.017      494.38514092    
18 Feb 2026 18:45:36.691    18 Feb 2026 18:53:49.827      493.13656561    
18 Feb 2026 20:25:27.740    18 Feb 2026 20:32:34.496      426.75560148    
19 Feb 2026 13:44:05.442    19 Feb 2026 13:44:27.933      22.491662228    
19 Feb 2026 15:19:18.635    19 Feb 2026 15:26:51.502      452.86713538    
19 Feb 2026 16:58:19.923    19 Feb 2026 17:06:36.161      496.23784914    
19 Feb 2026 18:37:56.027    19 Feb 2026 18:46:06.026      489.99919107    
19 Feb 2026 20:17:53.952    19 Feb 2026 20:24:34.532      400.57927526    


Number of events : 33


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:31:15.139    13 Feb 2026 00:39:11.909      476.77000500    
13 Feb 2026 16:02:16.615    13 Feb 2026 16:09:32.189      435.57331857    
13 Feb 2026 17:41:33.051    13 Feb 2026 17:49:28.446      475.39556567    
13 Feb 2026 19:23:31.380    13 Feb 2026 19:28:38.111      306.73068264    
13 Feb 2026 21:04:44.609    13 Feb 2026 21:09:32.343      287.73437084    
13 Feb 2026 22:43:57.664    13 Feb 2026 22:51:37.053      459.38945152    
14 Feb 2026 00:23:42.953    14 Feb 2026 00:31:16.185      453.23182612    
14 Feb 2026 15:54:15.646    14 Feb 2026 16:02:03.390      467.74446052    
14 Feb 2026 17:34:06.454    14 Feb 2026 17:41:43.270      456.81627220    
14 Feb 2026 19:16:14.988    14 Feb 2026 19:20:57.491      282.50355469    
14 Feb 2026 20:57:02.957    14 Feb 2026 21:02:16.545      313.58870940    
14 Feb 2026 22:36:12.667    14 Feb 2026 22:44:09.441      476.77395068    
15 Feb 2026 00:16:16.294    15 Feb 2026 00:23:12.387      416.09224747    
15 Feb 2026 15:46:22.122    15 Feb 2026 15:54:29.725      487.60291245    
15 Feb 2026 17:26:43.201    15 Feb 2026 17:33:57.492      434.29081477    
15 Feb 2026 19:08:56.346    15 Feb 2026 19:13:20.259      263.91329550    
15 Feb 2026 20:49:19.183    15 Feb 2026 20:55:01.235      342.05215608    
15 Feb 2026 22:28:28.760    15 Feb 2026 22:36:37.931      489.17132547    
16 Feb 2026 00:08:58.049    16 Feb 2026 00:14:57.722      359.67260686    
16 Feb 2026 15:38:34.810    16 Feb 2026 15:46:52.508      497.69821640    
16 Feb 2026 17:19:22.833    16 Feb 2026 17:26:11.473      408.64022593    
16 Feb 2026 19:01:34.106    16 Feb 2026 19:05:47.347      253.24070673    
16 Feb 2026 20:41:34.063    16 Feb 2026 20:47:45.316      371.25230511    
16 Feb 2026 22:20:46.333    16 Feb 2026 22:29:02.129      495.79568164    
17 Feb 2026 00:01:55.171    17 Feb 2026 00:06:25.331      270.15984461    
17 Feb 2026 13:53:46.081    17 Feb 2026 13:57:51.394      245.31260650    
17 Feb 2026 15:30:52.914    17 Feb 2026 15:39:12.608      499.69395372    
17 Feb 2026 17:12:04.803    17 Feb 2026 17:18:25.609      380.80627096    
17 Feb 2026 18:54:07.261    17 Feb 2026 18:58:19.323      252.06135346    
17 Feb 2026 20:33:48.210    17 Feb 2026 20:40:27.905      399.69534134    
17 Feb 2026 22:13:05.845    17 Feb 2026 22:21:21.595      495.75013019    
17 Feb 2026 23:55:55.002    17 Feb 2026 23:56:47.967      52.965699811    
18 Feb 2026 13:45:07.420    18 Feb 2026 13:50:54.096      346.67581933    
18 Feb 2026 15:23:15.862    18 Feb 2026 15:31:30.649      494.78724031    
18 Feb 2026 17:04:48.441    18 Feb 2026 17:10:40.365      351.92485198    
18 Feb 2026 18:46:35.491    18 Feb 2026 18:50:56.057      260.56692711    
18 Feb 2026 20:26:02.109    18 Feb 2026 20:33:08.299      426.18966963    
18 Feb 2026 22:05:27.880    18 Feb 2026 22:13:35.795      487.91569081    
19 Feb 2026 13:36:49.465    19 Feb 2026 13:43:38.429      408.96390716    
19 Feb 2026 15:15:43.197    19 Feb 2026 15:23:47.117      483.91949128    
19 Feb 2026 16:57:32.912    19 Feb 2026 17:02:56.321      323.40897083    
19 Feb 2026 18:38:59.215    19 Feb 2026 18:43:36.686      277.47112027    
19 Feb 2026 20:18:16.168    19 Feb 2026 20:25:45.927      449.75864006    
19 Feb 2026 21:57:53.231    19 Feb 2026 22:05:43.999      470.76787376    


Number of events : 44


Observer: Nemea
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 14:27:10.537    13 Feb 2026 14:34:32.479      441.94172913    
13 Feb 2026 16:06:30.653    13 Feb 2026 16:14:27.005      476.35156625    
13 Feb 2026 17:48:16.829    13 Feb 2026 17:53:46.647      329.81816742    
13 Feb 2026 19:29:14.593    13 Feb 2026 19:34:46.092      331.49958967    
13 Feb 2026 21:08:34.379    13 Feb 2026 21:16:29.514      475.13485495    
13 Feb 2026 22:48:32.750    13 Feb 2026 22:55:42.562      429.81132885    
14 Feb 2026 14:19:11.078    14 Feb 2026 14:27:02.515      471.43620711    
14 Feb 2026 15:59:03.449    14 Feb 2026 16:06:42.517      459.06786461    
14 Feb 2026 17:40:56.797    14 Feb 2026 17:46:08.644      311.84753309    
14 Feb 2026 19:21:33.495    14 Feb 2026 19:27:27.621      354.12647232    
14 Feb 2026 21:00:50.707    14 Feb 2026 21:08:58.427      487.72044632    
14 Feb 2026 22:41:10.783    14 Feb 2026 22:47:32.324      381.54101759    
15 Feb 2026 14:11:18.620    15 Feb 2026 14:19:28.134      489.51395651    
15 Feb 2026 15:51:39.217    15 Feb 2026 15:58:57.685      438.46863642    
15 Feb 2026 17:33:34.415    15 Feb 2026 17:38:33.921      299.50627692    
15 Feb 2026 19:13:50.606    15 Feb 2026 19:20:09.234      378.62755962    
15 Feb 2026 20:53:08.225    15 Feb 2026 21:01:23.401      495.17581004    
15 Feb 2026 22:34:00.512    15 Feb 2026 22:39:07.982      307.46923161    
16 Feb 2026 12:28:03.745    16 Feb 2026 12:29:05.142      61.396855360    
16 Feb 2026 14:03:32.045    16 Feb 2026 14:11:50.527      498.48195661    
16 Feb 2026 15:44:17.443    16 Feb 2026 15:51:12.900      415.45688297    
16 Feb 2026 17:26:08.782    16 Feb 2026 17:31:02.968      294.18658294    
16 Feb 2026 19:06:06.541    16 Feb 2026 19:12:50.023      403.48211640    
16 Feb 2026 20:45:27.378    16 Feb 2026 20:53:43.991      496.61323907    
16 Feb 2026 22:27:18.490    16 Feb 2026 22:30:13.067      174.57700992    
17 Feb 2026 12:18:29.626    17 Feb 2026 12:23:01.283      271.65726344    
17 Feb 2026 13:55:50.600    17 Feb 2026 14:04:10.495      499.89553902    
17 Feb 2026 15:36:57.527    17 Feb 2026 15:43:28.590      391.06268222    
17 Feb 2026 17:18:39.352    17 Feb 2026 17:23:35.905      296.55241922    
17 Feb 2026 18:58:21.824    17 Feb 2026 19:05:29.221      427.39707105    
17 Feb 2026 20:37:48.703    17 Feb 2026 20:45:59.683      490.97965780    
18 Feb 2026 12:09:57.145    18 Feb 2026 12:15:58.076      360.93107042    
18 Feb 2026 13:48:13.726    18 Feb 2026 13:56:28.637      494.91157453    
18 Feb 2026 15:29:38.754    18 Feb 2026 15:35:45.249      366.49483494    
18 Feb 2026 17:11:06.057    18 Feb 2026 17:16:12.368      306.31009801    
18 Feb 2026 18:50:36.905    18 Feb 2026 18:58:06.184      449.27884924    
18 Feb 2026 20:30:12.908    18 Feb 2026 20:38:09.816      476.90766267    
19 Feb 2026 12:01:42.164    19 Feb 2026 12:08:39.742      417.57826492    
19 Feb 2026 13:40:40.956    19 Feb 2026 13:48:45.428      484.47267363    
19 Feb 2026 15:22:20.275    19 Feb 2026 15:28:03.453      343.17832428    
19 Feb 2026 17:03:29.261    19 Feb 2026 17:08:51.574      322.31367716    
19 Feb 2026 18:42:52.185    19 Feb 2026 18:50:40.368      468.18358350    
19 Feb 2026 20:22:40.999    19 Feb 2026 20:30:13.446      452.44635619    


Number of events : 43


Observer: Nicosia
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 12:50:51.941    13 Feb 2026 12:54:46.510      234.56877238    
13 Feb 2026 14:27:54.987    13 Feb 2026 14:36:13.975      498.98770504    
13 Feb 2026 16:09:32.809    13 Feb 2026 16:15:07.613      334.80474455    
13 Feb 2026 19:32:06.347    13 Feb 2026 19:37:13.251      306.90371844    
13 Feb 2026 21:10:55.090    13 Feb 2026 21:19:06.126      491.03633183    
13 Feb 2026 22:51:53.276    13 Feb 2026 22:56:47.270      293.99395392    
