DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.CebrerosC.X,DefaultSC.CebrerosC.Y,DefaultSC.CebrerosC.Z
01 Mar 2026 00:00:37.034,0.1473887,-158.4793,549.8638,-4078.205,-3025.139,-11101.29
01 Mar 2026 00:00:47.034,0.6309189,-158.1179,549.8657,-4109.731,-3064.222,-11048.71
01 Mar 2026 00:00:57.034,1.114417,-157.7564,549.8694,-4140.806,-3102.969,-10995.61
01 Mar 2026 00:01:07.034,1.597857,-157.3947,549.875,-4171.424,-3141.375,-10942
01 Mar 2026 00:01:17.034,2.081216,-157.0329,549.8825,-4201.582,-3179.436,-10887.89
01 Mar 2026 00:01:27.034,2.564467,-156.6708,549.8919,-4231.277,-3217.15,-10833.28
01 Mar 2026 00:01:37.034,3.047587,-156.3084,549.9031,-4260.503,-3254.512,-10778.18
01 Mar 2026 00:01:47.034,3.530549,-155.9456,549.9161,-4289.258,-3291.519,-10722.59
01 Mar 2026 00:01:57.034,4.01333,-155.5825,549.931,-4317.538,-3328.168,-10666.53
01 Mar 2026 00:02:07.034,4.495903,-155.2188,549.9478,-4345.338,-3364.455,-10609.99
01 Mar 2026 00:02:17.034,4.978245,-154.8547,549.9663,-4372.655,-3400.377,-10552.98
01 Mar 2026 00:02:27.034,5.460328,-154.4899,549.9867,-4399.486,-3435.93,-10495.52
01 Mar 2026 00:02:37.034,5.942128,-154.1245,550.0089,-4425.826,-3471.112,-10437.6
01 Mar 2026 00:02:47.034,6.423619,-153.7584,550.0329,-4451.673,-3505.919,-10379.24
01 Mar 2026 00:02:57.034,6.904776,-153.3915,550.0586,-4477.023,-3540.348,-10320.43
01 Mar 2026 00:03:07.034,7.385572,-153.0238,550.0861,-4501.872,-3574.395,-10261.19
01 Mar 2026 00:03:17.034,7.865982,-152.6552,550.1154,-4526.217,-3608.058,-10201.53
01 Mar 2026 00:03:27.034,8.345978,-152.2857,550.1463,-4550.054,-3641.333,-10141.44
01 Mar 2026 00:03:37.034,8.825535,-151.9152,550.179,-4573.382,-3674.218,-10080.94
01 Mar 2026 00:03:47.034,9.304626,-151.5436,550.2134,-4596.195,-3706.709,-10020.04
01 Mar 2026 00:03:57.034,9.783224,-151.1709,550.2494,-4618.492,-3738.804,-9958.734
01 Mar 2026 00:04:07.034,10.2613,-150.797,550.2871,-4640.268,-3770.5,-9897.036
01 Mar 2026 00:04:17.034,10.73883,-150.4218,550.3264,-4661.522,-3801.793,-9834.952
01 Mar 2026 00:04:27.034,11.21579,-150.0454,550.3673,-4682.25,-3832.681,-9772.49
01 Mar 2026 00:04:37.034,11.69214,-149.6676,550.4097,-4702.449,-3863.162,-9709.655
01 Mar 2026 00:04:47.034,12.16786,-149.2883,550.4537,-4722.116,-3893.232,-9646.457
01 Mar 2026 00:04:57.034,12.64292,-148.9076,550.4992,-4741.249,-3922.889,-9582.9
01 Mar 2026 00:05:07.034,13.11729,-148.5253,550.5462,-4759.845,-3952.13,-9518.993
01 Mar 2026 00:05:17.034,13.59095,-148.1414,550.5947,-4777.901,-3980.952,-9454.743
01 Mar 2026 00:05:27.034,14.06386,-147.7558,550.6446,-4795.415,-4009.354,-9390.157
01 Mar 2026 00:05:37.034,14.53599,-147.3684,550.6958,-4812.384,-4037.332,-9325.243
01 Mar 2026 00:05:47.034,15.00731,-146.9792,550.7485,-4828.806,-4064.884,-9260.007
01 Mar 2026 00:05:57.034,15.47779,-146.5881,550.8025,-4844.677,-4092.008,-9194.457
01 Mar 2026 00:06:07.034,15.9474,-146.1951,550.8578,-4859.997,-4118.701,-9128.601
01 Mar 2026 00:06:17.034,16.41612,-145.8001,550.9143,-4874.763,-4144.961,-9062.445
01 Mar 2026 00:06:27.034,16.8839,-145.403,550.9721,-4888.972,-4170.785,-8995.998
01 Mar 2026 00:06:37.034,17.35071,-145.0037,551.031,-4902.622,-4196.172,-8929.267
01 Mar 2026 00:06:47.034,17.81653,-144.6021,551.0912,-4915.712,-4221.12,-8862.259
01 Mar 2026 00:06:57.034,18.28132,-144.1983,551.1524,-4928.239,-4245.625,-8794.982
01 Mar 2026 00:07:07.034,18.74504,-143.7921,551.2147,-4940.201,-4269.687,-8727.443
01 Mar 2026 00:07:17.034,19.20766,-143.3835,551.2781,-4951.597,-4293.302,-8659.65
01 Mar 2026 00:07:27.034,19.66914,-142.9724,551.3424,-4962.425,-4316.469,-8591.611
01 Mar 2026 00:07:37.034,20.12946,-142.5586,551.4077,-4972.682,-4339.187,-8523.334
01 Mar 2026 00:07:47.034,20.58856,-142.1422,551.4739,-4982.368,-4361.452,-8454.825
01 Mar 2026 00:07:57.034,21.04643,-141.7231,551.541,-4991.48,-4383.264,-8386.094
01 Mar 2026 00:08:07.034,21.50301,-141.3011,551.609,-5000.017,-4404.621,-8317.146
01 Mar 2026 00:08:17.034,21.95828,-140.8763,551.6777,-5007.978,-4425.52,-8247.991
01 Mar 2026 00:08:27.034,22.41218,-140.4485,551.7471,-5015.361,-4445.96,-8178.637
01 Mar 2026 00:08:37.034,22.86469,-140.0176,551.8173,-5022.165,-4465.939,-8109.09
01 Mar 2026 00:08:47.034,23.31577,-139.5836,551.8881,-5028.389,-4485.456,-8039.358
01 Mar 2026 00:08:57.034,23.76536,-139.1464,551.9595,-5034.031,-4504.509,-7969.45
01 Mar 2026 00:09:07.034,24.21344,-138.7059,552.0315,-5039.09,-4523.097,-7899.374
01 Mar 2026 00:09:17.034,24.65995,-138.2621,552.104,-5043.565,-4541.218,-7829.137
01 Mar 2026 00:09:27.034,25.10486,-137.8148,552.177,-5047.456,-4558.87,-7758.747
01 Mar 2026 00:09:37.034,25.54813,-137.3639,552.2504,-5050.76,-4576.053,-7688.212
01 Mar 2026 00:09:47.034,25.98969,-136.9094,552.3241,-5053.478,-4592.765,-7617.54
01 Mar 2026 00:09:57.034,26.42952,-136.4513,552.3982,-5055.609,-4609.004,-7546.739
01 Mar 2026 00:10:07.034,26.86757,-135.9893,552.4725,-5057.152,-4624.771,-7475.818
01 Mar 2026 00:10:17.034,27.30378,-135.5234,552.5471,-5058.106,-4640.062,-7404.783
01 Mar 2026 00:10:27.034,27.73811,-135.0536,552.6219,-5058.47,-4654.877,-7333.642
01 Mar 2026 00:10:37.034,28.17051,-134.5798,552.6968,-5058.245,-4669.216,-7262.405
01 Mar 2026 00:10:47.034,28.60092,-134.1017,552.7717,-5057.429,-4683.076,-7191.079
01 Mar 2026 00:10:57.034,29.02931,-133.6195,552.8467,-5056.023,-4696.458,-7119.672
01 Mar 2026 00:11:07.034,29.45561,-133.1329,552.9217,-5054.025,-4709.359,-7048.191
01 Mar 2026 00:11:17.034,29.87978,-132.6419,552.9966,-5051.437,-4721.78,-6976.646
