DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.DelftC.X,DefaultSC.DelftC.Y,DefaultSC.DelftC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-4614.231165179474,-3764.163359707823,-9932.600079177506
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-4618.468351815036,-3764.832236897592,-9926.430946593187
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-4647.958089855807,-3769.387496402547,-9883.157333956464
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-4689.648709470584,-3775.522697327146,-9820.947042450207
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-4730.788098393414,-3781.21517391744,-9758.329167610373
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-4771.370793819513,-3786.465247087648,-9695.310846953482
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-4811.391400824585,-3791.27329040166,-9631.899266744076
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-4850.844592541985,-3795.639730970801,-9568.101660723154
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-4889.725112001651,-3799.565048140086,-9503.925308887099
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-4928.027770047054,-3803.049774539622,-9439.377539448322
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-4965.74744970636,-3806.094495061783,-9374.465723350746
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-5002.879104768537,-3808.699846552676,-9309.197276747631
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-5039.417760559205,-3810.866518467502,-9243.579658955972
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-5075.358515158172,-3812.595251609359,-9177.620372006928
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-5110.696539506383,-3813.886838966161,-9111.326959330425
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-5145.427079165756,-3814.742124280541,-9044.707004448917
13 Feb 2026 00:03:05.030,9.34434621083199,-141.7015285981166,550.2989689385831,-5179.545452153292,-3815.162003499569,-8977.768133032176
13 Feb 2026 00:03:15.030,9.965463805993926,-141.6312808208833,550.3578415150423,-5213.047053505154,-3815.147422566808,-8910.51800736027
13 Feb 2026 00:03:25.030,10.58651554959034,-141.560610024778,550.4203101789917,-5245.927353149738,-3814.699378701697,-8842.964328415939
13 Feb 2026 00:03:35.030,11.20749722418659,-141.4894875280911,550.4863423191318,-5278.181897287015,-3813.81891961195,-8775.114834292233
13 Feb 2026 00:03:45.030,11.82840458945404,-141.4178842189363,550.5559034487787,-5309.806309191998,-3812.507142852829,-8706.97729943931
13 Feb 2026 00:03:55.030,12.44923338029809,-141.3457705154009,550.6289572235191,-5340.796289318541,-3810.765196469695,-8638.559533368096
13 Feb 2026 00:04:05.030,13.06997930489029,-141.2731163444231,550.7054654598533,-5371.147616951163,-3808.594277464066,-8569.869379290973
13 Feb 2026 00:04:15.030,13.69063804259755,-141.1998910986636,550.7853881547644,-5400.856148108227,-3805.995633490243,-8500.914716222391
13 Feb 2026 00:04:25.030,14.31120524180098,-141.1260636132572,550.8686835062299,-5429.917819820859,-3802.970560154086,-8431.703453292102
13 Feb 2026 00:04:35.030,14.93167651759661,-141.0516021217011,550.9553079346415,-5458.328648072755,-3799.520402542973,-8362.243531886521
13 Feb 2026 00:04:45.030,15.55204744936976,-140.9764742236023,551.0452161051326,-5486.08472907065,-3795.646554322115,-8292.542924007332
13 Feb 2026 00:04:55.030,16.17231357823449,-140.9006468510602,551.1383609508312,-5513.182239970675,-3791.350457061485,-8222.609631488125
13 Feb 2026 00:05:05.030,16.79247040432898,-140.8240862204823,551.2346936969507,-5539.617438909091,-3786.633600813474,-8152.451684672502
13 Feb 2026 00:05:15.030,17.4125133839576,-140.7467578025385,551.3341638857719,-5565.386666536996,-3781.497522483116,-8082.077141012014
13 Feb 2026 00:05:25.030,18.03243792656898,-140.6686262694426,551.4367194024762,-5590.48634400453,-3775.943807765496,-8011.49408720184
13 Feb 2026 00:05:35.030,18.65223939156014,-140.5896554614895,551.5423065018131,-5614.912976927596,-3769.974087967316,-7940.710633377903
13 Feb 2026 00:05:45.030,19.27191308489471,-140.5098083306887,551.6508698356074,-5638.663153339782,-3763.590041902286,-7869.734915244295
13 Feb 2026 00:05:55.030,19.89145425552382,-140.4290469033923,551.7623524810306,-5661.73354518487,-3756.793394266427,-7798.575092658581
13 Feb 2026 00:06:05.030,20.51085809159643,-140.347332221092,551.8766959697105,-5684.120908283679,-3749.585916161927,-7727.239348294495
13 Feb 2026 00:06:15.030,21.1301197164461,-140.2646242920455,551.9938403175847,-5705.822082969981,-3741.969424382786,-7655.735886834026
13 Feb 2026 00:06:25.030,21.74923418433931,-140.1808820404648,552.1137240555336,-5726.833995157845,-3733.945780315953,-7584.072933265651
13 Feb 2026 00:06:35.030,22.3681964759705,-140.0960632399934,552.2362842607263,-5747.153654491169,-3725.516891981069,-7512.258735100598
13 Feb 2026 00:06:45.030,22.98700149368711,-140.0101244640741,552.361456588701,-5766.778157969752,-3716.684710400838,-7440.301556485258
13 Feb 2026 00:06:55.030,23.60564405642737,-139.9230210123652,552.4891753061584,-5785.704687996729,-3707.451231723406,-7368.209680359225
13 Feb 2026 00:07:05.030,24.22411889435233,-139.834706855016,552.6193733244299,-5803.930513741821,-3697.818495518815,-7295.991407009162
13 Feb 2026 00:07:15.030,24.84242064315206,-139.7451345538651,552.7519822335944,-5821.45299103357,-3687.788585237005,-7223.655052721719
13 Feb 2026 00:07:25.030,25.46054383800466,-139.6542551931949,552.886932337281,-5838.26956291233,-3677.363627468597,-7151.208948960509
