DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.FucinoC.X,DefaultSC.FucinoC.Y,DefaultSC.FucinoC.Z
01 Mar 2026 00:00:37.034,0.1473887,-158.4793,549.8638,-4624.144,-954.6888,-11458.37
01 Mar 2026 00:00:47.034,0.6309189,-158.1179,549.8657,-4662.958,-997.9007,-11414.64
01 Mar 2026 00:00:57.034,1.114417,-157.7564,549.8694,-4701.26,-1041.003,-11370.35
01 Mar 2026 00:01:07.034,1.597857,-157.3947,549.875,-4739.044,-1083.993,-11325.51
01 Mar 2026 00:01:17.034,2.081216,-157.0329,549.8825,-4776.306,-1126.865,-11280.12
01 Mar 2026 00:01:27.034,2.564467,-156.6708,549.8919,-4813.042,-1169.616,-11234.2
01 Mar 2026 00:01:37.034,3.047587,-156.3084,549.9031,-4849.246,-1212.242,-11187.74
01 Mar 2026 00:01:47.034,3.530549,-155.9456,549.9161,-4884.915,-1254.739,-11140.75
01 Mar 2026 00:01:57.034,4.01333,-155.5825,549.931,-4920.044,-1297.102,-11093.23
01 Mar 2026 00:02:07.034,4.495903,-155.2188,549.9478,-4954.628,-1339.328,-11045.2
01 Mar 2026 00:02:17.034,4.978245,-154.8547,549.9663,-4988.664,-1381.413,-10996.66
01 Mar 2026 00:02:27.034,5.460328,-154.4899,549.9867,-5022.146,-1423.353,-10947.61
01 Mar 2026 00:02:37.034,5.942128,-154.1245,550.0089,-5055.071,-1465.143,-10898.05
01 Mar 2026 00:02:47.034,6.423619,-153.7584,550.0329,-5087.435,-1506.781,-10848
01 Mar 2026 00:02:57.034,6.904776,-153.3915,550.0586,-5119.234,-1548.262,-10797.47
01 Mar 2026 00:03:07.034,7.385572,-153.0238,550.0861,-5150.463,-1589.582,-10746.44
01 Mar 2026 00:03:17.034,7.865982,-152.6552,550.1154,-5181.119,-1630.738,-10694.94
01 Mar 2026 00:03:27.034,8.345978,-152.2857,550.1463,-5211.198,-1671.725,-10642.97
01 Mar 2026 00:03:37.034,8.825535,-151.9152,550.179,-5240.696,-1712.54,-10590.54
01 Mar 2026 00:03:47.034,9.304626,-151.5436,550.2134,-5269.609,-1753.179,-10537.64
01 Mar 2026 00:03:57.034,9.783224,-151.1709,550.2494,-5297.934,-1793.639,-10484.29
01 Mar 2026 00:04:07.034,10.2613,-150.797,550.2871,-5325.667,-1833.914,-10430.49
01 Mar 2026 00:04:17.034,10.73883,-150.4218,550.3264,-5352.805,-1874.003,-10376.25
01 Mar 2026 00:04:27.034,11.21579,-150.0454,550.3673,-5379.344,-1913.9,-10321.58
01 Mar 2026 00:04:37.034,11.69214,-149.6676,550.4097,-5405.281,-1953.602,-10266.48
01 Mar 2026 00:04:47.034,12.16786,-149.2883,550.4537,-5430.612,-1993.106,-10210.95
01 Mar 2026 00:04:57.034,12.64292,-148.9076,550.4992,-5455.334,-2032.408,-10155.01
01 Mar 2026 00:05:07.034,13.11729,-148.5253,550.5462,-5479.444,-2071.504,-10098.66
01 Mar 2026 00:05:17.034,13.59095,-148.1414,550.5947,-5502.939,-2110.391,-10041.91
01 Mar 2026 00:05:27.034,14.06386,-147.7558,550.6446,-5525.816,-2149.064,-9984.767
01 Mar 2026 00:05:37.034,14.53599,-147.3684,550.6958,-5548.072,-2187.521,-9927.231
01 Mar 2026 00:05:47.034,15.00731,-146.9792,550.7485,-5569.703,-2225.758,-9869.313
01 Mar 2026 00:05:57.034,15.47779,-146.5881,550.8025,-5590.708,-2263.771,-9811.019
01 Mar 2026 00:06:07.034,15.9474,-146.1951,550.8578,-5611.084,-2301.557,-9752.356
01 Mar 2026 00:06:17.034,16.41612,-145.8001,550.9143,-5630.827,-2339.112,-9693.33
01 Mar 2026 00:06:27.034,16.8839,-145.403,550.9721,-5649.935,-2376.433,-9633.95
01 Mar 2026 00:06:37.034,17.35071,-145.0037,551.031,-5668.405,-2413.516,-9574.22
01 Mar 2026 00:06:47.034,17.81653,-144.6021,551.0912,-5686.236,-2450.358,-9514.15
01 Mar 2026 00:06:57.034,18.28132,-144.1983,551.1524,-5703.424,-2486.955,-9453.744
01 Mar 2026 00:07:07.034,18.74504,-143.7921,551.2147,-5719.968,-2523.305,-9393.011
01 Mar 2026 00:07:17.034,19.20766,-143.3835,551.2781,-5735.865,-2559.403,-9331.957
01 Mar 2026 00:07:27.034,19.66914,-142.9724,551.3424,-5751.113,-2595.247,-9270.589
01 Mar 2026 00:07:37.034,20.12946,-142.5586,551.4077,-5765.71,-2630.833,-9208.915
01 Mar 2026 00:07:47.034,20.58856,-142.1422,551.4739,-5779.654,-2666.158,-9146.942
01 Mar 2026 00:07:57.034,21.04643,-141.7231,551.541,-5792.942,-2701.218,-9084.676
01 Mar 2026 00:08:07.034,21.50301,-141.3011,551.609,-5805.574,-2736.011,-9022.125
01 Mar 2026 00:08:17.034,21.95828,-140.8763,551.6777,-5817.547,-2770.533,-8959.296
01 Mar 2026 00:08:27.034,22.41218,-140.4485,551.7471,-5828.859,-2804.781,-8896.197
01 Mar 2026 00:08:37.034,22.86469,-140.0176,551.8173,-5839.509,-2838.751,-8832.834
01 Mar 2026 00:08:47.034,23.31577,-139.5836,551.8881,-5849.496,-2872.442,-8769.216
01 Mar 2026 00:08:57.034,23.76536,-139.1464,551.9595,-5858.817,-2905.849,-8705.348
01 Mar 2026 00:09:07.034,24.21344,-138.7059,552.0315,-5867.472,-2938.969,-8641.24
01 Mar 2026 00:09:17.034,24.65995,-138.2621,552.104,-5875.459,-2971.8,-8576.897
01 Mar 2026 00:09:27.034,25.10486,-137.8148,552.177,-5882.777,-3004.339,-8512.328
01 Mar 2026 00:09:37.034,25.54813,-137.3639,552.2504,-5889.425,-3036.582,-8447.539
01 Mar 2026 00:09:47.034,25.98969,-136.9094,552.3241,-5895.401,-3068.526,-8382.539
01 Mar 2026 00:09:57.034,26.42952,-136.4513,552.3982,-5900.704,-3100.169,-8317.335
