DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.GranadaC.X,DefaultSC.GranadaC.Y,DefaultSC.GranadaC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-3205.520253880046,-4498.485251784587,-10568.36940111741
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-3211.158224385638,-4499.087545637591,-10563.43889659807
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-3250.493520439648,-4503.152817791472,-10528.80930468361
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-3306.397840564707,-4508.514063158923,-10478.89104286484
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-3361.913859346095,-4513.346053912566,-10428.48791415091
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-3417.034427795872,-4517.649120181207,-10377.60536577511
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-3471.752445269211,-4521.423655298056,-10326.2489034879
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-3526.060859896558,-4524.670116605772,-10274.42409028442
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-3579.952670776439,-4527.389024246145,-10222.13654583406
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-3633.420925374988,-4529.580962145084,-10169.39194772793
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-3686.458725247782,-4531.2465770075,-10116.19602741888
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-3739.059224045881,-4532.386578064774,-10062.55457227631
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-3791.215628745756,-4533.001737638869,-10008.47342374645
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-3842.921201038209,-4533.092889982148,-9953.958477361028
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-3894.169257709283,-4532.660932011285,-9899.015681411225
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-3944.953172788543,-4531.706821966421,-9843.651036287651
13 Feb 2026 00:03:05.030,9.34434621083199,-141.7015285981166,550.2989689385831,-3995.266374812646,-4530.23158079005,-9787.870595755365
13 Feb 2026 00:03:15.030,9.965463805993926,-141.6312808208833,550.3578415150423,-4045.102352840566,-4528.23628996294,-9731.680463017083
13 Feb 2026 00:03:25.030,10.58651554959034,-141.560610024778,550.4203101789917,-4094.45465375832,-4525.722092721235,-9675.086792052129
13 Feb 2026 00:03:35.030,11.20749722418659,-141.4894875280911,550.4863423191318,-4143.316884085203,-4522.690193289766,-9618.095786517264
13 Feb 2026 00:03:45.030,11.82840458945404,-141.4178842189363,550.5559034487787,-4191.682710994703,-4519.141856269233,-9560.713699293254
13 Feb 2026 00:03:55.030,12.44923338029809,-141.3457705154009,550.6289572235191,-4239.545862702822,-4515.078407178625,-9502.946831196787
13 Feb 2026 00:04:05.030,13.06997930489029,-141.2731163444231,550.7054654598533,-4286.900130534616,-4510.501230995954,-9444.801530253044
13 Feb 2026 00:04:15.030,13.69063804259755,-141.1998910986636,550.7853881547644,-4333.739366222586,-4505.411773792754,-9386.284193006224
13 Feb 2026 00:04:25.030,14.31120524180098,-141.1260636132572,550.8686835062299,-4380.057487726025,-4499.811540039237,-9327.401260418537
13 Feb 2026 00:04:35.030,14.93167651759661,-141.0516021217011,550.9553079346415,-4425.848476567178,-4493.702094080727,-9268.159219246754
13 Feb 2026 00:04:45.030,15.55204744936976,-140.9764742236023,551.0452161051326,-4471.106379554849,-4487.085059240551,-9208.564600880574
13 Feb 2026 00:04:55.030,16.17231357823449,-140.9006468510602,551.1383609508312,-4515.825309741593,-4479.96211716474,-9148.623980844039
13 Feb 2026 00:05:05.030,16.79247040432898,-140.8240862204823,551.2346936969507,-4559.99944675362,-4472.335008290432,-9088.343977471244
13 Feb 2026 00:05:15.030,17.4125133839576,-140.7467578025385,551.3341638857719,-4603.623038763486,-4464.205530275964,-9027.731251118232
13 Feb 2026 00:05:25.030,18.03243792656898,-140.6686262694426,551.4367194024762,-4646.690399838128,-4455.57553988533,-8966.792505502384
13 Feb 2026 00:05:35.030,18.65223939156014,-140.5896554614895,551.5423065018131,-4689.195915526187,-4446.446949778408,-8905.534483460986
13 Feb 2026 00:05:45.030,19.27191308489471,-140.5098083306887,551.6508698356074,-4731.134040180528,-4436.821730349756,-8843.963968278969
13 Feb 2026 00:05:55.030,19.89145425552382,-140.4290469033923,551.7623524810306,-4772.499298893214,-4426.701908158302,-8782.087782877406
13 Feb 2026 00:06:05.030,20.51085809159643,-140.347332221092,551.8766959697105,-4813.286287772258,-4416.089566334552,-8719.912788463904
13 Feb 2026 00:06:15.030,21.1301197164461,-140.2646242920455,551.9938403175847,-4853.489674821573,-4404.986843872944,-8657.445883991861
13 Feb 2026 00:06:25.030,21.74923418433931,-140.1808820404648,552.1137240555336,-4893.104201500475,-4393.395934515283,-8594.694004909921
13 Feb 2026 00:06:35.030,22.3681964759705,-140.0960632399934,552.2362842607263,-4932.124680201496,-4381.319088760361,-8531.664124609952
13 Feb 2026 00:06:45.030,22.98700149368711,-140.0101244640741,552.361456588701,-4970.545999568099,-4368.758610164665,-8468.363250065409
13 Feb 2026 00:06:55.030,23.60564405642737,-139.9230210123652,552.4891753061584,-5008.36312188297,-4355.716857418573,-8404.798423188813
13 Feb 2026 00:07:05.030,24.22411889435233,-139.834706855016,552.6193733244299,-5045.571084893213,-4342.196242681911,-8340.976719965587
13 Feb 2026 00:07:15.030,24.84242064315206,-139.7451345538651,552.7519822335944,-5082.165002023112,-4328.199231917322,-8276.905249083102
13 Feb 2026 00:07:25.030,25.46054383800466,-139.6542551931949,552.886932337281,-5118.140063180242,-4313.728344148136,-8212.591151357025
13 Feb 2026 00:07:35.030,26.07848290716554,-139.562018306649,553.0241526880636,-5153.49153620265,-4298.786150233727,-8148.041598438424
13 Feb 2026 00:07:45.030,26.69623216516224,-139.4683717868996,553.1635711234776,-5188.214764417805,-4283.375275112312,-8083.263794278872
13 Feb 2026 00:07:55.030,27.31378580556859,-139.3732618107047,553.305114302626,-5222.305171660304,-4267.498393631264,-8018.26497067646
13 Feb 2026 00:08:05.030,27.93113789333001,-139.2766327382268,553.4487077433505,-5255.758259741649,-4251.15823285149,-7953.052388656556
13 Feb 2026 00:08:15.030,28.5482823566098,-139.1784270283997,553.594275859924,-5288.569610154005,-4234.357570302075,-7887.633337555835
13 Feb 2026 00:08:25.030,29.16521297812328,-139.078585127966,553.7417420013171,-5320.734884161253,-4217.099234336283,-7822.015133563898
13 Feb 2026 00:08:35.030,29.78192338592523,-138.9770453758014,553.891028489933,-5352.249823816233,-4199.386102865256,-7756.205119505309
13 Feb 2026 00:08:45.030,30.39840704361232,-138.8737438814503,554.0420566608309,-5383.110252704907,-4181.221103032126,-7690.210662739941
13 Feb 2026 00:08:55.030,31.01465723989993,-138.768614410275,554.1947469014131,-5413.312074187802,-4162.607212672628,-7624.039157416271
13 Feb 2026 00:09:05.030,31.6306670775288,-138.6615882615813,554.3490186915687,-5442.851275790589,-4143.54745620987,-7557.698019556512
