DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.MaspalomasC.X,DefaultSC.MaspalomasC.Y,DefaultSC.MaspalomasC.Z
01 Mar 2026 00:00:37.034,0.1473887,-158.4793,549.8638,-2605.235,-4183.897,-11251.86
01 Mar 2026 00:00:47.034,0.6309189,-158.1179,549.8657,-2644.162,-4218.409,-11201.07
01 Mar 2026 00:00:57.034,1.114417,-157.7564,549.8694,-2682.8,-4252.457,-11149.75
01 Mar 2026 00:01:07.034,1.597857,-157.3947,549.875,-2721.141,-4286.036,-11097.89
01 Mar 2026 00:01:17.034,2.081216,-157.0329,549.8825,-2759.182,-4319.145,-11045.52
01 Mar 2026 00:01:27.034,2.564467,-156.6708,549.8919,-2796.917,-4351.78,-10992.63
01 Mar 2026 00:01:37.034,3.047587,-156.3084,549.9031,-2834.342,-4383.939,-10939.23
01 Mar 2026 00:01:47.034,3.530549,-155.9456,549.9161,-2871.452,-4415.617,-10885.33
01 Mar 2026 00:01:57.034,4.01333,-155.5825,549.931,-2908.242,-4446.812,-10830.93
01 Mar 2026 00:02:07.034,4.495903,-155.2188,549.9478,-2944.707,-4477.521,-10776.03
01 Mar 2026 00:02:17.034,4.978245,-154.8547,549.9663,-2980.843,-4507.742,-10720.65
01 Mar 2026 00:02:27.034,5.460328,-154.4899,549.9867,-3016.644,-4537.472,-10664.79
01 Mar 2026 00:02:37.034,5.942128,-154.1245,550.0089,-3052.107,-4566.707,-10608.45
01 Mar 2026 00:02:47.034,6.423619,-153.7584,550.0329,-3087.226,-4595.446,-10551.65
01 Mar 2026 00:02:57.034,6.904776,-153.3915,550.0586,-3121.997,-4623.685,-10494.38
01 Mar 2026 00:03:07.034,7.385572,-153.0238,550.0861,-3156.415,-4651.423,-10436.66
01 Mar 2026 00:03:17.034,7.865982,-152.6552,550.1154,-3190.476,-4678.656,-10378.49
01 Mar 2026 00:03:27.034,8.345978,-152.2857,550.1463,-3224.176,-4705.383,-10319.87
01 Mar 2026 00:03:37.034,8.825535,-151.9152,550.179,-3257.51,-4731.601,-10260.82
01 Mar 2026 00:03:47.034,9.304626,-151.5436,550.2134,-3290.473,-4757.307,-10201.34
01 Mar 2026 00:03:57.034,9.783224,-151.1709,550.2494,-3323.062,-4782.499,-10141.43
01 Mar 2026 00:04:07.034,10.2613,-150.797,550.2871,-3355.272,-4807.176,-10081.11
