DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.NemeaC.X,DefaultSC.NemeaC.Y,DefaultSC.NemeaC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-4147.063392014607,-1754.575460868358,-11651.66997837489
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-4152.821926177156,-1755.354850200022,-11646.9064522974
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-4192.969652159614,-1760.749420378174,-11613.409298679
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-4249.94125265513,-1768.285588786167,-11565.00153353488
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-4306.413994593886,-1775.615777492907,-11515.98164357607
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-4362.380895870123,-1782.740262769474,-11466.35529124351
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-4417.835035830305,-1789.659344755144,-11416.12821253123
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-4472.769555947799,-1796.373348511417,-11365.30621604392
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-4527.17766163061,-1802.882622556146,-11313.89518190983
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-4581.052619937763,-1809.187539997927,-11261.90106345015
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-4634.387764959351,-1815.288497543757,-11209.32988267309
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-4687.176495758779,-1821.185915079599,-11156.1877322365
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-4739.412277770667,-1826.880236495743,-11102.48077384149
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-4791.088643828078,-1832.371928275373,-11048.2152377551
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-4842.199194770681,-1837.661480516596,-10993.39742179657
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-4892.737601177736,-1842.749405391968,-10938.033690124
13 Feb 2026 00:03:05.030,9.34434621083199,-141.7015285981166,550.2989689385831,-4942.697601057922,-1847.636238663474,-10882.13047507361
13 Feb 2026 00:03:15.030,9.965463805993926,-141.6312808208833,550.3578415150423,-4992.073005197966,-1852.322537527172,-10825.69427235233
13 Feb 2026 00:03:25.030,10.58651554959034,-141.560610024778,550.4203101789917,-5040.857694846666,-1856.808881949531,-10768.73164287879
13 Feb 2026 00:03:35.030,11.20749722418659,-141.4894875280911,550.4863423191318,-5089.045623286919,-1861.095873886172,-10711.24921137726
13 Feb 2026 00:03:45.030,11.82840458945404,-141.4178842189363,550.5559034487787,-5136.630816670544,-1865.184136620362,-10653.25366567852
13 Feb 2026 00:03:55.030,12.44923338029809,-141.3457705154009,550.6289572235191,-5183.607374581138,-1869.074315597523,-10594.75175567536
13 Feb 2026 00:04:05.030,13.06997930489029,-141.2731163444231,550.7054654598533,-5229.969471659008,-1872.767076823033,-10535.75029201043
13 Feb 2026 00:04:15.030,13.69063804259755,-141.1998910986636,550.7853881547644,-5275.711355391596,-1876.263108585802,-10476.25614803454
13 Feb 2026 00:04:25.030,14.31120524180098,-141.1260636132572,550.8686835062299,-5320.827351137246,-1879.563118933642,-10416.2762546751
13 Feb 2026 00:04:35.030,14.93167651759661,-141.0516021217011,550.9553079346415,-5365.311859907528,-1882.667837221684,-10355.81760239945
13 Feb 2026 00:04:45.030,15.55204744936976,-140.9764742236023,551.0452161051326,-5409.159359826942,-1885.578013257148,-10294.88723971066
13 Feb 2026 00:04:55.030,16.17231357823449,-140.9006468510602,551.1383609508312,-5452.3644068966,-1888.294416631966,-10233.4922723954
13 Feb 2026 00:05:05.030,16.79247040432898,-140.8240862204823,551.2346936969507,-5494.921635482249,-1890.817837518601,-10171.63986242376
13 Feb 2026 00:05:15.030,17.4125133839576,-140.7467578025385,551.3341638857719,-5536.825759821324,-1893.14908501394,-10109.33722654801
13 Feb 2026 00:05:25.030,18.03243792656898,-140.6686262694426,551.4367194024762,-5578.071571927007,-1895.288989064833,-10046.5916383708
13 Feb 2026 00:05:35.030,18.65223939156014,-140.5896554614895,551.5423065018131,-5618.653946255728,-1897.238397589574,-9983.410422919369
13 Feb 2026 00:05:45.030,19.27191308489471,-140.5098083306887,551.6508698356074,-5658.567837574841,-1898.99817837312,-9919.800958688709
13 Feb 2026 00:05:55.030,19.89145425552382,-140.4290469033923,551.7623524810306,-5697.808282434051,-1900.569217428607,-9855.770676220647
13 Feb 2026 00:06:05.030,20.51085809159643,-140.347332221092,551.8766959697105,-5736.370399586771,-1901.952419760823,-9791.327056962176
13 Feb 2026 00:06:15.030,21.1301197164461,-140.2646242920455,551.9938403175847,-5774.249390666826,-1903.148708686649,-9726.47763246065
13 Feb 2026 00:06:25.030,21.74923418433931,-140.1808820404648,552.1137240555336,-5811.440541434547,-1904.159024856194,-9661.229982710984
13 Feb 2026 00:06:35.030,22.3681964759705,-140.0960632399934,552.2362842607263,-5847.939219835549,-1904.984328219217,-9595.591738360506
13 Feb 2026 00:06:45.030,22.98700149368711,-140.0101244640741,552.361456588701,-5883.740880281845,-1905.625594818448,-9529.570575019014
13 Feb 2026 00:06:55.030,23.60564405642737,-139.9230210123652,552.4891753061584,-5918.841061645323,-1906.08381887089,-9463.174215407296
13 Feb 2026 00:07:05.030,24.22411889435233,-139.834706855016,552.6193733244299,-5953.23538860014,-1906.360011092426,-9396.410427859524
13 Feb 2026 00:07:15.030,24.84242064315206,-139.7451345538651,552.7519822335944,-5986.919571963446,-1906.455199419003,-9329.287025140135
13 Feb 2026 00:07:25.030,25.46054383800466,-139.6542551931949,552.886932337281,-6019.889409292917,-1906.37042832684,-9261.811863600968
13 Feb 2026 00:07:35.030,26.07848290716554,-139.562018306649,553.0241526880636,-6052.140785997199,-1906.106757800442,-9193.992841458556
13 Feb 2026 00:07:45.030,26.69623216516224,-139.4683717868996,553.1635711234776,-6083.669673534576,-1905.665265481695,-9125.837901090223
13 Feb 2026 00:07:55.030,27.31378580556859,-139.3732618107047,553.305114302626,-6114.472133282604,-1905.047043150524,-9057.355023114478
13 Feb 2026 00:08:05.030,27.93113789333001,-139.2766327382268,553.4487077433505,-6144.544314670254,-1904.253198982138,-8988.55222863479
13 Feb 2026 00:08:15.030,28.5482823566098,-139.1784270283997,553.594275859924,-6173.882456383412,-1903.284855847946,-8919.437577675002
13 Feb 2026 00:08:25.030,29.16521297812328,-139.078585127966,553.7417420013171,-6202.482886597441,-1902.143152119446,-8850.019167929706
13 Feb 2026 00:08:35.030,29.78192338592523,-138.9770453758014,553.891028489933,-6230.342023625823,-1900.829240337504,-8780.305134061184
13 Feb 2026 00:08:45.030,30.39840704361232,-138.8737438814503,554.0420566608309,-6257.45637662128,-1899.344287454313,-8710.303645573727
13 Feb 2026 00:08:55.030,31.01465723989993,-138.768614410275,554.1947469014131,-6283.822544195774,-1897.689475825327,-8640.022909536698
13 Feb 2026 00:09:05.030,31.6306670775288,-138.6615882615813,554.3490186915687,-6309.437217719172,-1895.866000072629,-8569.471164294309
13 Feb 2026 00:09:15.030,32.24642946145457,-138.5525941261569,554.5047906441978,-6334.297179630987,-1893.875069365138,-8498.656681830531
13 Feb 2026 00:09:25.030,32.86193708626762,-138.4415579554558,554.6619805461796,-6358.399304503005,-1891.717905707003,-8427.587766148283
13 Feb 2026 00:09:35.030,33.47718242278851,-138.3284028011536,554.8205053996699,-6381.740559188917,-1889.395744687388,-8356.272751995008
13 Feb 2026 00:09:45.030,34.09215770377752,-138.2130486664698,554.9802814637887,-6404.318003388071,-1886.909834192502,-8284.720004133542
13 Feb 2026 00:09:55.030,34.70685490869347,-138.0954123278846,555.1412242966071,-6426.128790202137,-1884.261434545546,-8212.937915171964
13 Feb 2026 00:10:05.030,35.32126574743016,-137.9754071592922,555.3032487974706,-6447.170164917703,-1881.451819715371,-8140.93490835414
13 Feb 2026 00:10:15.030,35.93538164295356,-137.852942944715,555.4662692495804,-6467.439467849821,-1878.482273889218,-8068.719431109537
13 Feb 2026 00:10:25.030,36.54919371275547,-137.7279256655357,555.6301993628585,-6486.934132817422,-1875.354093905575,-7996.299957491741
13 Feb 2026 00:10:35.030,37.16269274903237,-137.6002572941589,555.7949523170555,-6505.651688058089,-1872.068587541384,-7923.684986512189
13 Feb 2026 00:10:45.030,37.77586919748995,-137.4698355523741,555.9604408050418,-6523.589756295567,-1868.627074201251,-7850.883040849999
13 Feb 2026 00:10:55.030,38.38871313466499,-137.3365536753138,556.1265770763603,-6540.746055217009,-1865.030883681325,-7777.902666102518
13 Feb 2026 00:11:05.030,39.00121424364606,-137.2003001390841,556.293272980879,-6557.118397881746,-1861.281356212195,-7704.752428582534
13 Feb 2026 00:11:15.030,39.6133617880642,-137.0609583836354,556.4604400126509,-6572.704691677675,-1857.379843870364,-7631.44091816432
13 Feb 2026 00:11:25.030,40.22514458421222,-136.918406516241,556.6279893538731,-6587.502940691892,-1853.327706889385,-7557.97674170889
13 Feb 2026 00:11:35.030,40.83655097113859,-136.7725169809246,556.7958319189647,-6601.511244361537,-1849.126316227556,-7484.368525564457
