DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.NicosiaC.X,DefaultSC.NicosiaC.Y,DefaultSC.NicosiaC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-3979.32532052643,-470.0588880245653,-12037.10451962262
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-3985.414644600537,-470.8671602776784,-12032.77714485171
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-4027.881927809679,-476.5061020910424,-12002.31843868149
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-4088.185825199817,-484.5201751507308,-11958.2153388347
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-4148.010103839422,-492.4795598177766,-11913.45424254445
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-4207.347517836679,-500.384492515144,-11868.04047245295
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-4266.190880334476,-508.2352151971565,-11821.97943019878
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-4324.53306435012,-516.0319764466657,-11775.27659567841
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-4382.367004479345,-523.7750299881511,-11727.93752582801
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-4439.685694649033,-531.4646358176097,-11679.96785634444
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-4496.482193626047,-539.1010592757605,-11631.37329732323
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-4552.749622810308,-546.6845705823215,-11582.15963504039
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-4608.481167808415,-554.2154457236012,-11532.33273055539
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-4663.670079331623,-561.6939650185993,-11481.8985190687
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-4718.309673970438,-569.120414202901,-11430.86300910505
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-4772.393335824278,-576.4950828957166,-11379.23228115584
13 Feb 2026 00:03:05.030,9.34434621083199,-141.7015285981166,550.2989689385831,-4825.914514257994,-583.8182660815963,-11327.01248962509
13 Feb 2026 00:03:15.030,9.965463805993926,-141.6312808208833,550.3578415150423,-4878.866729273883,-591.0902620892932,-11274.20985798986
13 Feb 2026 00:03:25.030,10.58651554959034,-141.560610024778,550.4203101789917,-4931.243569243325,-598.3113738984024,-11220.83068072015
13 Feb 2026 00:03:35.030,11.20749722418659,-141.4894875280911,550.4863423191318,-4983.038692469474,-605.4819083991392,-11166.88132184058
13 Feb 2026 00:03:45.030,11.82840458945404,-141.4178842189363,550.5559034487787,-5034.245827987896,-612.6021757499619,-11112.36821417567
13 Feb 2026 00:03:55.030,12.44923338029809,-141.3457705154009,550.6289572235191,-5084.858776278088,-619.6724902870028,-11057.29785847187
13 Feb 2026 00:04:05.030,13.06997930489029,-141.2731163444231,550.7054654598533,-5134.871410785311,-626.6931689574492,-11001.67682192828
13 Feb 2026 00:04:15.030,13.69063804259755,-141.1998910986636,550.7853881547644,-5184.277675792006,-633.6645329770791,-10945.51174029646
13 Feb 2026 00:04:25.030,14.31120524180098,-141.1260636132572,550.8686835062299,-5233.071591447757,-640.5869055314944,-10888.8093126498
13 Feb 2026 00:04:35.030,14.93167651759661,-141.0516021217011,550.9553079346415,-5281.24725161366,-647.4606132617635,-10831.57630346116
13 Feb 2026 00:04:45.030,15.55204744936976,-140.9764742236023,551.0452161051326,-5328.79882531166,-654.285985478912,-10773.81954105129
13 Feb 2026 00:04:55.030,16.17231357823449,-140.9006468510602,551.1383609508312,-5375.720557457174,-661.063353531763,-10715.5459167778
13 Feb 2026 00:05:05.030,16.79247040432898,-140.8240862204823,551.2346936969507,-5422.006769495653,-667.7930516951919,-10656.76238409287
13 Feb 2026 00:05:15.030,17.4125133839576,-140.7467578025385,551.3341638857719,-5467.651860807117,-674.4754155772255,-10597.47595697256
13 Feb 2026 00:05:25.030,18.03243792656898,-140.6686262694426,551.4367194024762,-5512.650306705161,-681.1107839456994,-10537.69371216121
13 Feb 2026 00:05:35.030,18.65223939156014,-140.5896554614895,551.5423065018131,-5556.996663093596,-687.6994961661976,-10477.42278358019
13 Feb 2026 00:05:45.030,19.27191308489471,-140.5098083306887,551.6508698356074,-5600.685564427655,-694.2418940067827,-10416.67036454136
13 Feb 2026 00:05:55.030,19.89145425552382,-140.4290469033923,551.7623524810306,-5643.711725086252,-700.7383200694231,-10355.44370615798
13 Feb 2026 00:06:05.030,20.51085809159643,-140.347332221092,551.8766959697105,-5686.069939941461,-707.1891186602388,-10293.75011635366
13 Feb 2026 00:06:15.030,21.1301197164461,-140.2646242920455,551.9938403175847,-5727.755085006753,-713.594635163138,-10231.59695899353
13 Feb 2026 00:06:25.030,21.74923418433931,-140.1808820404648,552.1137240555336,-5768.762118670233,-719.9552151793162,-10168.99165215757
13 Feb 2026 00:06:35.030,22.3681964759705,-140.0960632399934,552.2362842607263,-5809.086079843208,-726.2712063561246,-10105.94167053308
13 Feb 2026 00:06:45.030,22.98700149368711,-140.0101244640741,552.361456588701,-5848.722092214497,-732.5429555860086,-10042.45453949515
13 Feb 2026 00:06:55.030,23.60564405642737,-139.9230210123652,552.4891753061584,-5887.665362349893,-738.7708109640388,-9978.537837458261
13 Feb 2026 00:07:05.030,24.22411889435233,-139.834706855016,552.6193733244299,-5925.911180937132,-744.9551202092017,-9914.19919420015
13 Feb 2026 00:07:15.030,24.84242064315206,-139.7451345538651,552.7519822335944,-5963.454923273367,-751.0962315084987,-9849.446289819733
13 Feb 2026 00:07:25.030,25.46054383800466,-139.6542551931949,552.886932337281,-6000.292049837136,-757.1944929050439,-9784.286853827156
13 Feb 2026 00:07:35.030,26.07848290716554,-139.562018306649,553.0241526880636,-6036.418107385593,-763.2502514112764,-9718.728663333968
13 Feb 2026 00:07:45.030,26.69623216516224,-139.4683717868996,553.1635711234776,-6071.828727255814,-769.2638549877594,-9652.779545569932
13 Feb 2026 00:07:55.030,27.31378580556859,-139.3732618107047,553.305114302626,-6106.519629191424,-775.2356495160971,-9586.447371670496
13 Feb 2026 00:08:05.030,27.93113789333001,-139.2766327382268,553.4487077433505,-6140.486619592632,-781.1659808993338,-9519.740059155603
13 Feb 2026 00:08:15.030,28.5482823566098,-139.1784270283997,553.594275859924,-6173.725592626908,-787.0551934855766,-9452.665570177749
13 Feb 2026 00:08:25.030,29.16521297812328,-139.078585127966,553.7417420013171,-6206.23253062202,-792.903631015562,-9385.231910422128
13 Feb 2026 00:08:35.030,29.78192338592523,-138.9770453758014,553.891028489933,-6238.003504610686,-798.7116353448104,-9317.447128237027
13 Feb 2026 00:08:45.030,30.39840704361232,-138.8737438814503,554.0420566608309,-6269.034675182207,-804.4795469147953,-9249.319312603697
13 Feb 2026 00:08:55.030,31.01465723989993,-138.768614410275,554.1947469014131,-6299.32229105231,-810.2077054835769,-9180.856595915588
