DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.PortoC.X,DefaultSC.PortoC.Y,DefaultSC.PortoC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-3218.15116747526,-4991.16286486729,-9955.65276138927
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-3223.347692966378,-4991.709134647883,-9950.253033963792
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-3259.594461505255,-4995.366249278278,-9912.361110384045
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-3311.0829233537,-5000.09470414163,-9857.840941321316
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-3362.182424053486,-5004.235839381378,-9802.908765983986
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-3412.886242541596,-5007.789988233319,-9747.570551417399
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-3463.187706213706,-5010.757554235482,-9691.832314320376
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-3513.080191205479,-5013.139011955536,-9635.700119686566
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-3562.557124609398,-5014.934905870565,-9579.180080149177
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-3611.611981918294,-5016.145851291843,-9522.278357358606
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-3660.238292475344,-5016.772533384154,-9465.001157558785
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-3708.429637662435,-5016.815706957503,-9407.354733809061
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-3756.179651947758,-5016.276196957368,-9349.345384014925
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-3803.482024343498,-5015.154897392328,-9290.97945090951
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-3850.330498636696,-5013.452771983475,-9232.263320651087
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-3896.7188755634,-5011.170852904702,-9173.203422091758
