DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.ReduC.X,DefaultSC.ReduC.Y,DefaultSC.ReduC.Z
01 Mar 2026 00:00:37.034,0.1473887,-158.4793,549.8638,-5124.429,-1952.653,-10625.09
01 Mar 2026 00:00:47.034,0.6309189,-158.1179,549.8657,-5151.952,-1994.434,-10572.34
01 Mar 2026 00:00:57.034,1.114417,-157.7564,549.8694,-5178.909,-2035.996,-10519.12
01 Mar 2026 00:01:07.034,1.597857,-157.3947,549.875,-5205.296,-2077.334,-10465.44
01 Mar 2026 00:01:17.034,2.081216,-157.0329,549.8825,-5231.109,-2118.446,-10411.31
01 Mar 2026 00:01:27.034,2.564467,-156.6708,549.8919,-5256.345,-2159.327,-10356.74
01 Mar 2026 00:01:37.034,3.047587,-156.3084,549.9031,-5281.001,-2199.973,-10301.73
01 Mar 2026 00:01:47.034,3.530549,-155.9456,549.9161,-5305.073,-2240.381,-10246.29
01 Mar 2026 00:01:57.034,4.01333,-155.5825,549.931,-5328.559,-2280.547,-10190.42
01 Mar 2026 00:02:07.034,4.495903,-155.2188,549.9478,-5351.454,-2320.467,-10134.13
01 Mar 2026 00:02:17.034,4.978245,-154.8547,549.9663,-5373.758,-2360.137,-10077.43
01 Mar 2026 00:02:27.034,5.460328,-154.4899,549.9867,-5395.465,-2399.555,-10020.32
01 Mar 2026 00:02:37.034,5.942128,-154.1245,550.0089,-5416.573,-2438.715,-9962.816
01 Mar 2026 00:02:47.034,6.423619,-153.7584,550.0329,-5437.08,-2477.615,-9904.917
01 Mar 2026 00:02:57.034,6.904776,-153.3915,550.0586,-5456.983,-2516.25,-9846.633
01 Mar 2026 00:03:07.034,7.385572,-153.0238,550.0861,-5476.279,-2554.618,-9787.968
01 Mar 2026 00:03:17.034,7.865982,-152.6552,550.1154,-5494.965,-2592.714,-9728.932
01 Mar 2026 00:03:27.034,8.345978,-152.2857,550.1463,-5513.039,-2630.535,-9669.53
01 Mar 2026 00:03:37.034,8.825535,-151.9152,550.179,-5530.498,-2668.079,-9609.769
01 Mar 2026 00:03:47.034,9.304626,-151.5436,550.2134,-5547.34,-2705.34,-9549.656
01 Mar 2026 00:03:57.034,9.783224,-151.1709,550.2494,-5563.562,-2742.316,-9489.198
01 Mar 2026 00:04:07.034,10.2613,-150.797,550.2871,-5579.163,-2779.004,-9428.402
01 Mar 2026 00:04:17.034,10.73883,-150.4218,550.3264,-5594.139,-2815.399,-9367.276
01 Mar 2026 00:04:27.034,11.21579,-150.0454,550.3673,-5608.49,-2851.5,-9305.826
01 Mar 2026 00:04:37.034,11.69214,-149.6676,550.4097,-5622.212,-2887.301,-9244.059
01 Mar 2026 00:04:47.034,12.16786,-149.2883,550.4537,-5635.304,-2922.801,-9181.982
01 Mar 2026 00:04:57.034,12.64292,-148.9076,550.4992,-5647.764,-2957.995,-9119.603
01 Mar 2026 00:05:07.034,13.11729,-148.5253,550.5462,-5659.59,-2992.881,-9056.929
01 Mar 2026 00:05:17.034,13.59095,-148.1414,550.5947,-5670.781,-3027.456,-8993.967
01 Mar 2026 00:05:27.034,14.06386,-147.7558,550.6446,-5681.333,-3061.715,-8930.725
01 Mar 2026 00:05:37.034,14.53599,-147.3684,550.6958,-5691.247,-3095.657,-8867.209
01 Mar 2026 00:05:47.034,15.00731,-146.9792,550.7485,-5700.52,-3129.278,-8803.427
01 Mar 2026 00:05:57.034,15.47779,-146.5881,550.8025,-5709.151,-3162.576,-8739.386
01 Mar 2026 00:06:07.034,15.9474,-146.1951,550.8578,-5717.138,-3195.546,-8675.094
01 Mar 2026 00:06:17.034,16.41612,-145.8001,550.9143,-5724.481,-3228.186,-8610.558
01 Mar 2026 00:06:27.034,16.8839,-145.403,550.9721,-5731.177,-3260.493,-8545.786
01 Mar 2026 00:06:37.034,17.35071,-145.0037,551.031,-5737.225,-3292.464,-8480.785
01 Mar 2026 00:06:47.034,17.81653,-144.6021,551.0912,-5742.626,-3324.097,-8415.562
01 Mar 2026 00:06:57.034,18.28132,-144.1983,551.1524,-5747.376,-3355.388,-8350.126
01 Mar 2026 00:07:07.034,18.74504,-143.7921,551.2147,-5751.477,-3386.335,-8284.483
01 Mar 2026 00:07:17.034,19.20766,-143.3835,551.2781,-5754.925,-3416.935,-8218.641
01 Mar 2026 00:07:27.034,19.66914,-142.9724,551.3424,-5757.722,-3447.185,-8152.608
01 Mar 2026 00:07:37.034,20.12946,-142.5586,551.4077,-5759.866,-3477.082,-8086.391
01 Mar 2026 00:07:47.034,20.58856,-142.1422,551.4739,-5761.355,-3506.624,-8019.998
01 Mar 2026 00:07:57.034,21.04643,-141.7231,551.541,-5762.191,-3535.808,-7953.436
01 Mar 2026 00:08:07.034,21.50301,-141.3011,551.609,-5762.372,-3564.632,-7886.714
01 Mar 2026 00:08:17.034,21.95828,-140.8763,551.6777,-5761.898,-3593.093,-7819.839
01 Mar 2026 00:08:27.034,22.41218,-140.4485,551.7471,-5760.768,-3621.188,-7752.818
01 Mar 2026 00:08:37.034,22.86469,-140.0176,551.8173,-5758.982,-3648.915,-7685.659
01 Mar 2026 00:08:47.034,23.31577,-139.5836,551.8881,-5756.541,-3676.272,-7618.371
01 Mar 2026 00:08:57.034,23.76536,-139.1464,551.9595,-5753.443,-3703.256,-7550.96
01 Mar 2026 00:09:07.034,24.21344,-138.7059,552.0315,-5749.688,-3729.864,-7483.434
01 Mar 2026 00:09:17.034,24.65995,-138.2621,552.104,-5745.278,-3756.095,-7415.802
01 Mar 2026 00:09:27.034,25.10486,-137.8148,552.177,-5740.211,-3781.946,-7348.071
01 Mar 2026 00:09:37.034,25.54813,-137.3639,552.2504,-5734.489,-3807.415,-7280.248
01 Mar 2026 00:09:47.034,25.98969,-136.9094,552.3241,-5728.11,-3832.5,-7212.342
01 Mar 2026 00:09:57.034,26.42952,-136.4513,552.3982,-5721.076,-3857.198,-7144.36
01 Mar 2026 00:10:07.034,26.86757,-135.9893,552.4725,-5713.387,-3881.508,-7076.31
01 Mar 2026 00:10:17.034,27.30378,-135.5234,552.5471,-5705.044,-3905.426,-7008.2
01 Mar 2026 00:10:27.034,27.73811,-135.0536,552.6219,-5696.046,-3928.952,-6940.037
01 Mar 2026 00:10:37.034,28.17051,-134.5798,552.6968,-5686.395,-3952.083,-6871.83
