DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.SvalbardC.X,DefaultSC.SvalbardC.Y,DefaultSC.SvalbardC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-6282.575553225536,-2627.797677887904,-7673.157952703975
13 Feb 2026 00:00:38.034,0.2097425347967596,-142.7213537941422,549.8639786050235,-6284.650091931979,-2626.465792597294,-7665.902157802544
13 Feb 2026 00:00:44.420,0.6097721384628644,-142.7968623279646,549.8657915176545,-6297.715127735957,-2617.885680434624,-7619.534523115665
13 Feb 2026 00:00:54.420,1.23625781741857,-142.9151328610529,549.8718502919955,-6317.544506296605,-2604.186715929451,-7546.791937224166
13 Feb 2026 00:01:04.420,1.862737560822835,-143.0334391373578,549.8818361242475,-6336.600168432406,-2590.170883920212,-7473.903177513702
13 Feb 2026 00:01:14.420,2.489208404724022,-143.1517992939909,549.8957439986543,-6354.879375739235,-2575.841009340559,-7400.876922671374
13 Feb 2026 00:01:24.420,3.115667384967934,-143.2702315239124,549.9135668478593,-6372.379487774972,-2561.199955606526,-7327.721868782819
13 Feb 2026 00:01:34.420,3.742111537100139,-143.3887540839025,549.9352955564054,-6389.097962029718,-2546.25062515336,-7254.446728180339
13 Feb 2026 00:01:44.420,4.368537896257722,-143.5073853158016,549.9609189652519,-6405.032354614044,-2530.995958425432,-7181.060227460541
13 Feb 2026 00:01:54.420,4.994943497047709,-143.6261436679257,549.9904238774106,-6420.180320169957,-2515.438933197664,-7107.571110258835
13 Feb 2026 00:02:04.420,5.621325373409448,-143.7450477035597,550.0237950645787,-6434.539612732578,-2499.582564708657,-7033.988130381496
13 Feb 2026 00:02:14.420,6.247680558458208,-143.8641161293735,550.0610152748623,-6448.108085881499,-2483.42990421707,-6960.320054636813
13 Feb 2026 00:02:24.420,6.874006084307115,-143.9833678031125,550.1020652415436,-6460.883692757054,-2466.984039600768,-6886.575660713066
13 Feb 2026 00:02:34.420,7.500298981864617,-144.1028217626204,550.1469236928633,-6472.8644868019,-2450.24809365395,-6812.763736197765
13 Feb 2026 00:02:44.420,8.126556280604452,-144.2224972355029,550.1955673628863,-6484.048621744853,-2433.225224475205,-6738.893076572272
13 Feb 2026 00:02:54.420,8.752775008305191,-144.3424136623368,550.2479710033513,-6494.434351658068,-2415.918624940393,-6664.972487553025
13 Feb 2026 00:03:04.420,9.378952190756216,-144.4625907202879,550.3041073965705,-6504.020031948312,-2398.331521064737,-6591.010778971198
13 Feb 2026 00:03:14.420,10.00508485142691,-144.5830483341071,550.3639473693511,-6512.804118825087,-2380.467172919069,-6517.016766997284
13 Feb 2026 00:03:24.420,10.63117001109589,-144.7038067073196,550.4274598078919,-6520.78517005653,-2362.32887280426,-6442.99927230672
13 Feb 2026 00:03:34.420,11.25720468743674,-144.8248863329821,550.4946116737192,-6527.961844751824,-2343.919945873771,-6368.967118908722
13 Feb 2026 00:03:44.420,11.88318589455686,-144.9463080260846,550.565368020596,-6534.332903983965,-2325.243748405465,-6294.929133156531
13 Feb 2026 00:03:54.420,12.50911064248563,-145.0680929355703,550.6396920124025,-6539.897210601253,-2306.303668211779,-6220.894141598714
13 Feb 2026 00:04:04.420,13.13497593660834,-145.1902625781362,550.717544942001,-6544.653729601205,-2287.103123712386,-6146.87097390427
13 Feb 2026 00:04:14.420,13.76077877704161,-145.3128388530795,550.7988862510501,-6548.601528254473,-2267.645563195814,-6072.868455829164
13 Feb 2026 00:04:24.420,14.38651615794644,-145.435844071128,550.8836735507703,-6551.739776172552,-2247.934464596721,-5998.895412089649
13 Feb 2026 00:04:34.420,15.01218506677438,-145.559300984147,550.9718626436661,-6554.067745643412,-2227.973334295781,-5924.960664335416
13 Feb 2026 00:04:44.420,15.63778248344252,-145.6832328027286,551.0634075461185,-6555.584811392116,-2207.765707554016,-5851.073029997148
13 Feb 2026 00:04:54.420,16.26330537943227,-145.8076632344358,551.1582605119311,-6556.290451080889,-2187.315146552834,-5777.241320465748
13 Feb 2026 00:05:04.420,16.88875071680718,-145.932616502218,551.2563720567787,-6556.184244982517,-2166.625241856717,-5703.474343250871
13 Feb 2026 00:05:14.420,17.5141154471444,-146.0581173849677,551.3576909835047,-6555.26587647657,-2145.699609346312,-5629.780896010102
13 Feb 2026 00:05:24.420,18.13939651037438,-146.1841912396565,551.4621644082863,-6553.535131733908,-2124.54189151438,-5556.169768725343
13 Feb 2026 00:05:34.420,18.76459083352271,-146.310864037978,551.5697377876922,-6550.991899916996,-2103.155756220699,-5482.649741832523
13 Feb 2026 00:05:44.420,19.38969532934832,-146.4381624044033,551.6803549465485,-6547.63617334759,-2081.544895671665,-5409.229585181952
13 Feb 2026 00:05:54.420,20.01470689487094,-146.5661136426625,551.7939581066094,-6543.468047190312,-2059.713026819996,-5335.918056900733
13 Feb 2026 00:06:04.420,20.63962240978151,-146.6947457835822,551.9104879160641,-6538.487719772314,-2037.663889294407,-5262.723901458445
13 Feb 2026 00:06:14.420,21.26443873472749,-146.824087613653,552.0298834798223,-6532.695492413714,-2015.401247243431,-5189.655852323801
13 Feb 2026 00:06:24.420,21.88915270946578,-146.9541687264948,552.1520823905594,-6526.09176945569,-1992.928885645971,-5116.722625279644
13 Feb 2026 00:06:34.420,22.51376115087459,-147.0850195553283,552.2770207605181,-6518.677058054806,-1970.25061212255,-5043.932921092268
13 Feb 2026 00:06:44.420,23.13826085081539,-147.2166714285945,552.4046332540411,-6510.451968439069,-1947.370254881043,-4971.295423580596
13 Feb 2026 00:06:54.420,23.76264857383546,-147.3491566081615,552.5348531208456,-6501.417213525978,-1924.291663086147,-4898.818798497238
13 Feb 2026 00:07:04.420,24.38692105470097,-147.4825083431287,552.6676122299477,-6491.573608975168,-1901.0187058219,-4826.511692507896
13 Feb 2026 00:07:14.420,25.01107499574949,-147.6167609262214,552.8028411043142,-6480.922073102527,-1877.55527067009,-4754.382731246611
13 Feb 2026 00:07:24.420,25.63510706405051,-147.7519497398812,552.9404689561297,-6469.463626921224,-1853.905265627809,-4682.440521913434
13 Feb 2026 00:07:34.420,26.2590138883614,-147.8881113250202,553.080423722733,-6457.199393693016,-1830.072615045702,-4610.693646744773
13 Feb 2026 00:07:44.420,26.88279205586535,-148.0252834319658,553.2226321031594,-6444.130598888684,-1806.061261657166,-4539.150665617727
13 Feb 2026 00:07:54.420,27.50643810867696,-148.1635050958689,553.3670195952882,-6430.258570261026,-1781.875164475855,-4467.820114159193
13 Feb 2026 00:08:04.420,28.12994854010005,-148.3028166960355,553.5135105335512,-6415.584737392183,-1757.518299127669,-4396.710502656189
13 Feb 2026 00:08:14.420,28.7533197906209,-148.4432600323505,553.6620281272144,-6400.110631639896,-1732.994656814266,-4325.830315057799
13 Feb 2026 00:08:24.420,29.376548243619,-148.5848784058964,553.8124944992041,-6383.837885887025,-1708.30824283197,-4255.18800708309
13 Feb 2026 00:08:34.420,29.99963022077601,-148.7277166909537,553.9648307254083,-6366.768234747689,-1683.463078698506,-4184.792008735352
13 Feb 2026 00:08:44.420,30.62256197716171,-148.8718214315245,554.1189568745176,-6348.903513642776,-1658.463197746992,-4114.650717966258
13 Feb 2026 00:08:54.420,31.24533969597492,-149.0172409220627,554.274792048308,-6330.245658931497,-1633.312647356957,-4044.77250320122
