DefaultSC.A1Gregorian,DefaultSC.EarthFixed.PlanetodeticLAT,DefaultSC.EarthFixed.PlanetodeticLON,DefaultSC.Earth.Altitude,DefaultSC.TenerifeC.X,DefaultSC.TenerifeC.Y,DefaultSC.TenerifeC.Z
13 Feb 2026 00:00:37.034,0.1470936346843791,-142.7095287090599,549.8638398246194,-1973.205762164896,-5590.636501840343,-9969.967238037167
13 Feb 2026 00:00:38.034,0.2092546936989782,-142.7028156571435,549.8639772839842,-1979.465852753371,-5591.097225754479,-9965.837063292496
13 Feb 2026 00:00:45.030,0.6441066756459826,-142.6558501806321,549.8660161325861,-2023.193684084809,-5594.136139215254,-9936.825990207702
13 Feb 2026 00:00:55.030,1.265712376094874,-142.5886897842603,549.8722031545185,-2085.499530525272,-5597.920847783007,-9894.998651015052
13 Feb 2026 00:01:05.030,1.887309739277135,-142.5214777588032,549.8822383576326,-2147.560557147983,-5601.047570830403,-9852.755255819447
13 Feb 2026 00:01:15.030,2.508894710640625,-142.4541886644716,549.8961166863928,-2209.368836626306,-5603.516640665784,-9810.100039762881
13 Feb 2026 00:01:25.030,3.130463232280722,-142.3867969960272,549.9138310673916,-2270.916472705077,-5605.328468561122,-9767.037288538528
13 Feb 2026 00:01:35.030,3.752011241794036,-142.3192771487586,549.9353724128378,-2332.195600742041,-5606.483545361344,-9723.571337052916
13 Feb 2026 00:01:45.030,4.373534671113539,-142.2516034053001,549.9607296250915,-2393.198390082801,-5606.982440505485,-9679.706569418742
13 Feb 2026 00:01:55.030,4.995029445320371,-142.1837499025199,549.9898896022514,-2453.917041201315,-5606.825802854236,-9635.447419608348
13 Feb 2026 00:02:05.030,5.616491481427643,-142.1156906112604,550.0228372447582,-2514.343792077148,-5606.014359758153,-9590.798368504929
13 Feb 2026 00:02:15.030,6.237916687131389,-142.0473993157725,550.0595554630681,-2574.470915935593,-5604.548916913439,-9545.763945672925
13 Feb 2026 00:02:25.030,6.85930095952367,-141.9788495796319,550.1000251863252,-2634.290722689439,-5602.430358743028,-9500.348727628329
13 Feb 2026 00:02:35.030,7.480640183762909,-141.9100147309463,550.1442253720888,-2693.795560426492,-5599.659647461634,-9454.557338272602
13 Feb 2026 00:02:45.030,8.101930231696194,-141.8408678260753,550.192133017048,-2752.977815917146,-5596.237823598883,-9408.394447510398
13 Feb 2026 00:02:55.030,8.723166960428303,-141.7713816338352,550.2437231687991,-2811.829916974375,-5592.166004870794,-9361.86477117572
13 Feb 2026 00:03:05.030,9.34434621083199,-141.7015285981166,550.2989689385831,-2870.344329413438,-5587.445387376922,-9314.973071613749
13 Feb 2026 00:03:15.030,9.965463805993926,-141.6312808208833,550.3578415150423,-2928.513563823508,-5582.077243603972,-9267.724155126603
13 Feb 2026 00:03:25.030,10.58651554959034,-141.560610024778,550.4203101789917,-2986.330172575076,-5576.062923482989,-9220.122872655575
13 Feb 2026 00:03:35.030,11.20749722418659,-141.4894875280911,550.4863423191318,-3043.786751852684,-5569.403853691405,-9172.174119118266
